"m.z","int"
103,50
105,62
108,35
116,19
117,24
120,109
121,40
125,18
126,143
129,17
131,127
132,61
134,22
135,53
136,132
138,116
139,29
141,59
143,312
146,13
149,96
150,103
151,75
152,31
154,70
155,39
156,16
157,16
158,50
160,19
164,39
165,209
166,58
167,57
168,31
170,13
172,22
173,35
175,42
178,112
180,15
181,45
182,52
183,77
184,39
185,31
186,25
189,19
191,75
192,96
194,16
195,20
197,15
198,15
200,131
203,35
205,35
206,45
208,35
209,13
210,11
214,39
215,11
216,32
217,14
218,12
219,64
220,11
222,12
223,35
229,25
230,16
231,22
235,20
236,16
238,11
240,373
241,32
243,20
245,22
246,34
247,54
254,17
256,133
257,13
258,13
262,24
263,38
270,12
271,14
272,11
276,80
279,32
286,27
288,13
289,36
290,17
292,12
295,14
306,38
307,49
312,15
318,12
326,72
336,14
347,27
378,14
424,24
425,12
426,19
430,19
438,19
440,27
442,14
452,51
453,89
454,45
456,11
462,25
466,30
467,79
468,202
469,65
470,15
482,157
483,108
484,63
490,18
508,31
514,45
527,55
537,176
538,71
541,29
542,108
543,26
550,19
556,104
557,27
560,25
567,20
570,20
583,71
584,38
608,13
614,20
615,441
616,147
617,56
641,20
642,14
658,20
659,568
660,199
661,36
675,11
771,145
772,129
792,82
793,24
893,803
894,516
895,140
896,41
