"m.z","int"
103,6
104,12
105,29
106,98
108,9
110,7
113,8
115,21
116,61
120,415
121,46
122,86
123,14
124,119
125,10
126,13
129,72
130,20
131,41
132,257
133,17
134,75
135,8
136,57
138,91
139,146
140,179
142,25
143,6
146,17
148,20
150,12
151,71
152,177
153,51
154,153
155,42
156,38
157,13
158,6
159,74
160,13
162,33
163,19
164,85
165,137
166,116
167,9
168,18
169,38
170,99
171,8
172,22
173,23
174,115
175,68
176,913
177,56
178,176
179,17
180,97
181,90
182,18
184,25
185,18
186,103
187,15
188,297
189,27
190,36
191,32
192,110
193,7
194,128
195,7
196,19
197,39
198,65
200,69
202,19
203,7
204,56
206,63
207,6
208,108
209,10
210,72
212,40
213,25
214,35
216,52
218,210
219,6
220,50
222,156
223,15
224,56
226,8
228,20
229,23
230,13
232,41
234,40
235,10
236,48
237,6
238,33
240,38
242,8
243,23
244,12
246,22
247,63
248,85
250,67
251,12
252,30
255,35
256,16
257,7
259,6
260,23
262,42
264,6
266,16
268,7
270,8
271,8
272,41
274,27
276,8
277,7
278,28
281,23
282,27
284,9
286,74
287,6
290,25
292,23
294,6
297,7
298,6
300,19
304,12
306,134
310,7
312,39
314,25
315,14
318,9
322,7
326,204
327,53
328,13
330,7
332,10
334,35
344,7
346,7
352,18
353,7
360,83
363,6
364,8
366,10
380,14
382,10
394,16
402,6
410,7
412,11
413,8
420,9
423,12
424,57
425,47
426,29
427,20
428,21
430,19
436,23
437,20
438,65
439,56
440,105
441,52
442,55
443,23
450,21
451,32
452,161
453,234
454,121
455,54
456,63
457,9
458,12
461,11
462,34
463,34
464,19
465,28
466,138
467,205
468,552
469,160
470,78
471,27
480,16
481,26
482,404
483,281
484,161
485,37
486,7
490,12
494,6
496,35
498,51
499,49
500,28
508,41
510,21
512,28
513,22
514,93
515,28
522,99
523,20
526,24
527,102
528,45
529,8
536,9
537,479
538,162
539,25
540,35
541,103
542,208
543,54
544,10
546,9
548,33
550,20
552,8
553,18
554,9
555,13
556,224
557,79
558,15
560,94
561,20
562,40
566,20
567,515
568,183
569,22
570,60
572,17
573,6
574,15
582,18
583,240
584,89
587,13
588,9
590,9
596,28
597,7
598,6
599,19
600,59
601,12
614,59
615,907
616,322
617,129
618,25
625,34
626,9
627,19
630,23
631,7
632,10
641,20
642,11
652,8
657,14
658,29
659,748
660,299
661,39
662,7
682,13
690,15
710,13
724,14
725,8
762,15
767,226
768,6
772,27
773,14
784,46
785,14
787,58
788,27
789,40
790,17
792,274
793,146
794,240
795,85
796,53
798,34
799,24
800,36
801,8
803,6
805,15
810,26
811,6
820,11
821,9
822,14
823,9
824,25
825,17
826,8
827,28
828,9
834,22
838,22
839,17
840,19
841,16
844,7
845,6
846,53
847,36
848,23
849,37
850,16
852,47
853,26
854,23
855,16
870,20
871,14
872,26
873,12
874,25
875,15
882,46
883,28
884,35
885,11
892,20
893,1640
894,1116
895,303
896,100
897,29
898,6
902,6
909,23
910,17
920,10
956,8
958,29
975,9
999,8
