"m.z","int"
105,40
106,98
107,28
109,13
113,24
115,6
116,31
121,44
122,81
124,135
125,42
126,17
129,36
131,86
132,135
134,79
136,80
138,72
139,175
140,206
142,7
145,7
146,9
148,27
149,8
151,27
152,198
153,30
154,83
155,14
156,23
157,6
158,255
159,248
160,19
161,34
162,22
163,10
164,70
165,7
166,143
167,17
168,258
169,24
170,80
171,6
172,21
174,6
175,136
176,36
177,12
178,133
179,15
180,190
181,12
182,17
185,88
186,8
188,14
190,23
191,13
192,91
194,120
195,141
196,6
197,42
198,13
199,16
200,52
201,14
202,11
204,51
205,13
206,27
207,9
208,80
209,8
210,36
211,8
215,8
216,9
217,11
218,71
219,12
220,18
221,24
222,58
225,9
227,7
228,6
229,13
230,11
232,13
234,15
236,29
239,17
240,6
243,14
244,9
245,19
248,32
249,29
250,22
252,6
253,6
254,24
255,16
257,19
259,123
260,9
261,60
262,8
263,65
267,15
275,15
276,12
277,14
278,26
279,50
280,9
282,6
283,8
285,7
286,14
287,6
291,8
294,8
296,15
304,11
306,118
307,6
308,6
312,39
313,23
314,111
315,6
316,7
317,6
319,7
323,11
325,22
326,554
327,130
328,47
329,8
331,7
332,30
334,85
338,11
340,17
341,13
342,14
343,8
344,15
345,31
349,12
356,10
360,11
361,9
365,8
369,9
379,51
381,6
386,9
395,11
409,17
416,21
419,7
420,6
424,19
425,8
426,10
427,13
431,6
438,14
439,6
440,27
442,22
443,20
447,29
449,15
451,15
452,48
453,67
454,32
456,20
458,11
462,15
463,31
464,6
465,14
466,23
467,58
468,102
469,41
470,11
479,7
480,10
481,11
482,86
483,56
484,30
489,6
491,10
495,8
496,6
498,11
499,9
508,27
510,6
511,7
514,16
515,7
517,14
522,20
526,7
527,22
537,160
538,62
539,7
540,9
541,25
542,45
543,31
545,7
548,9
550,23
551,13
556,49
557,15
560,10
565,45
567,52
568,21
581,12
582,6
583,58
584,17
596,6
600,10
614,19
615,172
616,58
617,22
618,6
625,6
658,13
659,137
660,48
661,6
705,9
727,9
733,8
766,241
772,6
787,13
792,54
793,23
794,33
795,10
798,10
800,12
801,6
808,17
826,10
827,49
828,15
838,6
846,6
849,26
850,16
852,7
853,7
865,11
874,8
892,7
893,290
894,178
895,38
896,19
910,7
958,6
