"m.z","int"
101,37
102,13
103,547
104,70
105,574
106,262
107,133
108,361
109,70
110,1920
111,44
112,3112
113,1373
114,62
115,798
116,207
117,329
118,129
119,543
120,585
121,1149
122,719
123,432
124,427
125,81
126,278
128,312
129,385
130,633
131,1348
132,371
133,81
134,390
135,76
136,1863
137,929
138,698
139,663
140,569
141,1068
142,319
143,192
144,335
145,767
146,143
147,62
148,563
149,419
150,7534
151,1120
152,838
153,88
154,952
155,355
156,1844
157,1969
158,3770
159,1283
160,290
161,805
162,467
163,739
164,905
165,856
166,1953
167,638
168,1102
169,123
170,1579
171,169
172,3844
173,1725
174,581
175,655
176,1535
177,679
178,3247
179,2029
180,1561
181,2385
182,923
183,158
184,742
185,549
186,4553
187,697
188,877
189,1050
190,404
191,201
192,3548
193,607
194,2072
195,683
196,1426
197,2449
198,736
199,669
200,7391
201,1661
202,1124
203,586
204,726
205,946
206,1087
207,463
208,2719
209,314
210,1192
211,288
212,1704
213,1639
214,8854
215,1504
216,763
217,533
218,2340
219,1240
220,1356
221,526
222,1825
223,1509
224,1466
225,269
226,983
227,232
228,977
229,331
230,3094
231,545
232,1988
233,317
234,1260
235,1503
236,1558
237,583
238,2605
239,1070
240,85296
241,11237
242,2678
243,446
244,278
245,548
246,4592
247,556
248,499
249,80
250,1418
251,700
252,1337
253,315
254,5977
255,1069
256,26747
257,4861
258,3867
259,706
260,491
261,654
262,2594
263,712
264,635
265,185
266,713
267,687
268,641
269,177
270,2443
271,449
272,478
273,650
274,966
275,404
276,1160
277,782
278,1551
279,1062
280,4023
281,991
282,520
283,1091
284,338
285,273
286,287
287,101
288,219
289,150
290,789
291,361
292,483
293,324
294,654
295,997
296,314
297,540
298,413
299,619
300,563
301,555
302,107
303,1189
304,452
305,373
306,639
307,349
308,249
309,99
310,1538
311,864
312,461
313,236
314,418
315,286
316,230
317,970
318,3860
319,750
320,343
321,362
322,1001
323,483
324,305
325,150
326,1376
327,325
328,340
329,150
330,149
331,95
332,68
333,501
334,268
335,107
336,128
337,208
338,595
339,551
340,238
341,81
342,258
343,70
344,78
345,284
346,116
347,92
348,345
349,177
350,91
351,169
352,171
353,192
354,149
355,197
356,162
357,169
358,174
359,92
360,219
361,411
362,188
363,96
364,195
365,82
366,554
367,204
368,276
369,113
370,102
371,37
372,444
373,299
374,199
375,133
376,70
377,139
378,195
379,125
380,64
381,51
382,486
383,223
384,91
385,13
386,82
387,25
388,122
389,42
390,22
391,52
392,86
393,82
394,226
395,149
396,99
397,245
398,175
399,157
400,59
401,35
402,117
403,25
404,43
405,244
406,158
407,42
408,132
409,12
410,201
411,81
412,51
413,56
414,208
415,72
416,58
417,116
418,12
419,25
420,76
421,63
422,58
423,93
424,251
425,162
426,105
427,85
428,67
429,56
430,276
431,58
432,23
433,62
434,65
436,84
437,109
438,319
439,274
440,243
441,113
442,161
443,94
444,11
445,13
447,15
449,16
450,83
451,70
452,330
453,391
454,410
455,179
456,3676
457,825
458,121
459,11
461,109
462,418
463,267
464,115
465,85
466,263
467,311
468,983
469,314
470,326
471,88
472,178
473,31
474,21
476,50
478,47
480,82
481,85
482,721
483,476
484,374
485,60
486,39
488,11
489,16
490,97
491,33
492,33
495,33
496,28
497,28
498,65
499,146
500,35
501,33
503,50
505,112
506,43
507,44
508,430
509,75
510,175
511,35
512,76
513,83
514,235
515,88
516,37
517,50
518,372
519,103
520,26
521,38
522,59
524,133
525,62
526,129
527,213
528,108
530,29
532,12
533,37
534,22
536,72
537,1782
538,696
539,124
540,60
541,209
542,446
543,253
544,75
550,12
553,125
554,66
555,21
556,408
557,115
558,35
559,14
560,103
561,13
562,115
563,23
564,25
565,321
566,115
567,662
568,261
569,85
570,72
571,37
572,47
575,12
576,72
577,17
578,58
581,126
582,132
583,800
584,283
585,36
587,13
588,14
590,42
591,39
596,22
598,37
599,73
600,105
601,16
606,14
608,89
609,31
610,30
611,19
612,15
614,105
615,1552
616,524
617,300
618,44
625,29
628,22
629,11
630,22
632,22
640,15
641,68
642,69
643,29
657,70
658,194
659,2220
660,872
661,155
669,11
674,17
675,48
676,14
677,23
682,210
683,103
684,54
690,11
691,11
693,13
698,140
699,66
705,22
718,17
719,11
724,30
727,46
728,14
733,16
738,34
740,38
741,20
742,43
743,15
744,49
745,19
746,27
753,35
754,12
755,25
756,23
758,15
760,24
770,53
771,278
772,46
775,45
776,11
779,30
780,12
781,40
782,12
784,22
787,159
788,91
789,48
790,65
791,35
792,1573
793,704
794,508
795,246
796,183
797,54
798,144
799,65
800,65
801,39
802,23
803,48
804,15
805,29
808,804
809,368
810,330
811,145
812,96
813,32
814,93
815,30
816,40
817,35
819,17
820,47
821,19
824,15
826,44
827,237
828,132
829,11
830,53
831,55
832,11
834,27
835,11
836,22
840,11
843,21
844,25
846,179
847,87
848,36
849,248
850,95
851,26
853,18
856,12
862,99
863,36
864,15
865,118
866,64
868,18
870,13
871,60
872,70
873,29
874,80
875,56
888,14
889,14
890,31
891,50
892,41
893,2770
894,1759
895,426
896,130
897,25
909,63
910,34
914,20
916,44
920,19
921,13
922,13
930,28
932,21
933,14
953,13
957,26
958,80
959,36
960,21
974,25
975,21
986,14
