"m.z","int"
103,76
105,100
107,29
108,209
110,26
116,35
117,76
119,74
120,448
121,224
122,15
123,49
124,34
125,58
126,791
129,42
131,381
132,107
133,12
134,147
135,278
136,438
138,367
139,139
140,31
141,248
143,485
145,20
146,53
148,43
149,454
150,199
151,182
152,150
153,20
154,789
155,415
156,831
157,338
158,238
159,73
160,47
161,40
163,99
164,154
165,538
166,171
167,283
168,105
169,23
170,176
171,39
172,99
173,287
174,64
175,207
176,84
177,31
178,625
179,163
180,241
181,113
182,198
183,164
184,104
185,53
186,56
187,54
188,69
189,166
190,174
191,203
192,1516
193,262
194,394
195,182
196,19
197,86
198,65
199,79
200,322
201,57
202,37
203,20
204,68
205,253
206,245
207,351
208,556
209,139
210,47
211,42
212,32
214,78
215,97
216,144
217,58
218,142
219,123
220,307
221,41
222,157
223,1037
224,74
225,28
226,17
228,52
229,42
230,52
231,34
232,123
233,23
234,404
235,125
236,250
237,27
238,120
239,42
240,1181
241,160
242,21
243,40
244,35
245,131
246,169
247,71
248,89
250,346
251,80
252,42
254,322
255,14
256,594
257,164
258,97
259,25
260,23
261,41
262,226
263,43
264,119
265,30
266,71
267,47
270,169
271,14
272,154
273,59
274,65
275,11
276,353
277,52
278,55
279,123
280,108
281,40
282,70
283,52
285,20
286,65
288,80
289,61
290,110
291,34
292,70
294,52
295,28
297,53
298,11
299,25
300,43
301,17
302,30
303,60
304,58
306,391
307,146
308,25
310,103
312,14
314,78
317,22
318,265
319,89
320,13
322,11
326,772
327,193
328,75
329,13
330,19
332,24
333,11
334,53
336,15
337,38
338,280
339,39
340,15
342,45
344,33
346,38
348,25
353,62
354,16
360,41
361,14
362,11
369,44
372,25
373,12
378,11
402,70
410,11
424,13
425,15
427,27
434,16
438,20
452,45
453,42
454,28
458,62
459,12
466,16
467,29
468,151
469,16
482,94
483,54
484,11
501,12
506,19
508,301
509,43
512,13
514,11
527,15
528,16
530,19
537,43
538,12
541,13
542,41
556,38
560,14
562,31
583,16
590,13
608,17
615,159
616,35
617,11
659,122
660,30
674,11
682,12
772,286
790,34
792,456
793,206
794,71
808,14
812,13
838,12
852,29
893,216
894,125
895,37
