"m.z","int"
101,30
102,43
105,117
106,157
107,67
108,60
109,60
110,95
113,103
114,3575
115,1673
116,478
117,138
118,366
119,6647
120,907
121,811
122,628
123,3659
124,739
125,369
126,650
127,3404
128,3489
129,1315
130,2371
131,1897
132,1099
133,2416
134,1818
135,2536
136,9141
137,5059
138,2839
139,1577
140,5317
141,3866
142,3083
143,3248
144,4828
145,11338
146,4057
147,5003
148,4718
149,3381
150,4875
151,5533
152,3346
153,5994
154,7015
155,5610
156,5959
157,6713
158,4688
159,3707
160,6603
161,4059
162,4218
163,3851
164,7457
165,5854
166,5492
167,5128
168,5057
169,3736
170,5849
171,4789
172,7027
173,4327
174,9792
175,4056
176,6683
177,4913
178,4449
179,4971
180,4541
181,9952
182,11676
183,3980
184,7222
185,4753
186,11684
187,4520
188,50066
189,7339
190,11524
191,6856
192,10834
193,3263
194,9835
195,7272
196,6619
197,3505
198,13598
199,3171
200,10187
201,3150
202,10820
203,2294
204,34588
205,5610
206,26661
207,3355
208,6345
209,8089
210,13286
211,3679
212,25844
213,3158
214,32940
215,5264
216,15207
217,2483
218,38042
219,4065
220,51883
221,7184
222,30254
223,11251
224,34348
225,3909
226,21845
227,3303
228,22810
229,2826
230,19789
231,2803
232,26167
233,3630
234,35932
235,8855
236,18516
237,18952
238,35032
239,4163
240,42211
241,5701
242,25017
243,3628
244,17320
245,3828
246,9678
247,71502
248,66545
249,6452
250,52529
251,11154
252,41760
253,5027
254,13707
255,28375
256,34654
257,3177
258,21042
259,2235
260,34471
261,2381
262,64099
263,4769
264,28038
265,5398
266,22733
267,2685
268,29595
269,3574
270,23965
271,3356
272,31766
273,4568
274,29105
275,15143
276,28251
277,2294
278,40983
279,5560
280,33968
281,3700
282,42947
283,4409
284,22998
285,1874
286,15137
287,1862
288,15708
289,1602
290,26226
291,2105
292,10940
293,2287
294,30865
295,2480
296,12308
297,1713
298,26421
299,2655
300,33934
301,2950
302,8575
303,986
304,13302
305,1124
306,10135
307,2060
308,25557
309,4090
310,6039
311,669
312,11691
313,1135
314,11121
315,934
316,7193
317,1030
318,4769
319,397
320,4508
321,603
322,5536
323,693
324,11106
325,961
326,5839
327,616
328,5085
329,601
330,5480
331,532
332,3005
333,339
334,3004
335,379
336,53672
337,4622
338,7383
339,617
340,5634
341,790
342,3854
343,317
344,9195
345,566
346,2867
347,223
348,1807
349,9034
350,2641
351,8391
352,10554
353,1834
354,2162
355,156
356,2340
357,221
358,2197
359,206
360,2017
361,210
362,2169
363,3604
364,2263
365,206
366,1905
367,198
368,1695
369,159
370,1935
371,524
372,1756
373,152
374,1155
375,21
376,887
378,1402
379,271
380,1861
381,153
382,811
383,76
384,914
385,167
386,1563
387,144
388,626
389,26
390,837
391,57
392,5380
393,884
394,30391
395,2709
396,1279
397,473
398,638
399,17
400,1888
401,345
402,528
404,474
405,261
406,470
408,1445
409,117
410,867
411,82
412,565
413,55
414,351
415,26
416,1124
417,57
418,314
420,277
421,24
422,554
423,51
424,97
426,1940
427,468
428,1056
429,130
430,137
431,86
432,194
434,55
436,1913
437,448
438,84
440,395
442,28299
443,3986
444,478
445,24
446,176
448,68
450,431
451,323
452,194
453,858
454,80
455,499
456,2471
457,796
458,882
459,125
460,55
462,16
463,19
464,41
466,34
467,25
468,6888
469,3093
470,4783
471,1363
472,203
474,53
476,17
478,17
479,21
480,437
481,46
482,109
483,23
484,805
485,79
486,374
487,47
488,239
490,33
500,41
502,59
504,419
505,57
506,60
508,306
509,55
512,96
514,264
515,28
516,33
520,96
524,360
525,154
526,50
532,539
533,44
534,113
535,37
536,187
537,109
542,4710
543,1640
544,1037
545,263
546,82
548,107
556,343
557,55
558,180
560,204
561,21
562,549
563,74
564,308
565,23
567,21
574,30
576,32
583,101
584,231
585,60
588,151
589,18
590,148
591,18
606,16
611,73
612,422
613,107
615,182
616,4488
617,2134
618,1762
619,496
620,154
626,81
630,230
631,21
632,207
633,22
634,19
636,47
642,18
652,20
654,132
655,60
658,41
659,141
660,54
674,55
682,140
683,76
684,22
690,961
691,920
692,919
693,157
694,69
704,153
705,36
706,61
716,17
718,65
719,21
724,36
738,99
739,22
740,434
741,232
742,81
743,17
744,251
745,74
746,31
762,137
763,44
764,714
765,185
766,205
767,164
772,90
773,29
778,27
788,38
790,127
791,29
792,508
793,319
794,98
798,60
799,16
800,44
801,16
806,58
808,75
810,208
811,82
812,35
820,93
821,26
822,27
826,40
830,19
832,23
838,341
839,107
840,56
841,18
842,22
846,130
847,93
848,72
849,16
854,16
868,51
869,31
870,25
872,83
873,27
874,61
875,19
893,380
894,272
895,54
896,49
912,220
913,110
914,75
916,34
917,27
920,16
921,18
958,217
959,128
960,19
986,71
987,45
988,30
