"m.z","int"
106,154
108,21
110,22
111,645
112,50
113,70
115,42
116,8
120,11
121,25
122,253
123,15
124,776
125,78
126,116
129,8
131,39
132,38
134,43
136,135
138,35
139,158
140,161
141,7
142,6
144,15
146,49
148,17
150,13
151,16
152,132
153,21
154,246
155,51
156,81
157,7
158,57
160,26
163,24
164,43
165,7
166,66
168,622
169,52
170,143
171,10
172,40
174,20
176,29
178,125
179,17
180,59
183,6
184,21
186,16
188,6
192,36
193,10
194,32
196,6
198,32
199,6
200,23
205,9
207,6
208,15
212,15
214,7
218,11
220,12
222,33
224,24
229,6
232,18
243,7
248,6
250,6
262,6
271,7
276,7
280,58
281,9
318,24
328,13
334,15
410,6
411,9
412,14
413,7
423,9
424,45
425,19
426,18
427,27
428,15
437,10
438,42
439,35
440,67
441,6
442,33
443,7
450,6
451,18
452,93
453,174
454,89
455,18
456,38
462,13
464,6
465,9
466,45
467,113
468,328
469,125
470,39
481,19
482,260
483,175
484,118
496,7
498,20
499,9
500,9
512,8
514,43
515,7
526,6
527,54
537,54
538,11
540,16
541,33
542,125
543,18
554,6
556,151
557,25
558,6
560,50
567,71
568,9
572,36
573,6
583,30
599,8
600,23
614,28
615,502
616,160
617,80
618,8
630,13
631,7
632,7
659,240
660,74
764,12
767,215
832,6
893,472
894,280
895,70
896,9
897,7
909,8
