"m.z","int"
101,11
105,38
106,127
111,332
112,25
113,34
115,7
121,22
122,229
123,16
124,691
125,57
126,66
130,7
131,13
132,29
133,11
134,15
136,410
137,7
138,21
139,151
140,154
141,26
147,6
149,18
151,14
152,113
153,6
154,143
155,13
156,26
158,94
160,10
162,6
163,25
164,40
165,102
166,53
168,652
169,57
170,98
178,98
180,29
181,13
185,18
192,40
193,15
194,38
200,13
204,8
208,19
210,7
211,7
222,29
234,11
236,8
244,16
246,6
260,6
271,39
280,21
302,9
306,11
308,17
310,6
312,7
326,32
330,23
334,8
346,10
360,7
424,9
425,8
438,10
440,11
452,36
453,36
454,13
456,6
465,6
466,20
467,28
468,115
469,6
470,7
482,74
483,34
484,14
510,25
514,15
527,12
537,26
538,6
541,13
542,27
548,7
550,8
556,35
560,10
583,16
614,8
615,161
616,46
617,11
659,106
660,44
740,10
742,7
766,153
792,13
838,9
893,165
894,101
895,21
