"m.z","int"
103,9
104,8
105,24
106,30
108,23
110,24
112,9
113,31
115,9
116,133
118,77
120,194
121,34
122,66
124,13
126,27
129,112
130,22
131,80
132,103
134,510
135,84
136,1470
137,151
138,916
139,14
140,23
141,21
142,69
143,202
144,23
145,10
146,95
147,28
148,33
149,86
150,204
151,902
152,164
153,115
154,273
155,68
156,113
157,57
158,121
159,9
160,72
161,21
162,30
163,32
164,514
165,501
166,151
167,86
168,28
169,48
170,94
171,7
172,102
174,69
175,7
176,272
177,16
178,1192
179,126
180,245
181,143
182,24
183,16
184,34
185,88
186,94
187,23
188,24
190,120
191,27
192,277
193,84
194,601
195,66
196,87
197,59
198,69
199,47
200,102
202,16
203,6
204,36
205,74
206,217
207,38
208,252
209,218
210,63
211,30
212,78
213,15
214,105
215,8
216,39
217,7
218,52
219,16
220,160
221,6
222,134
223,22
224,13
225,28
226,19
228,8
229,6
230,22
231,10
232,69
234,114
236,268
237,8
238,88
240,1139
241,117
242,15
243,15
244,48
245,17
246,141
247,10
248,57
249,9
250,69
251,41
252,107
254,121
255,6
256,292
257,57
258,61
260,50
261,6
262,155
263,15
264,40
265,8
266,94
267,6
268,20
270,27
271,125
272,17
274,36
276,370
277,28
278,108
280,52
282,20
284,27
286,94
287,19
290,32
291,78
292,14
294,16
295,7
296,14
297,23
298,50
299,26
300,21
302,37
303,17
304,44
305,36
306,95
307,6
308,137
309,8
310,88
312,44
314,32
316,76
317,15
318,144
319,9
320,7
322,19
324,10
326,118
327,8
328,13
329,14
330,99
332,17
334,132
335,57
336,7
338,30
342,10
345,6
346,74
347,19
348,39
349,66
350,8
352,7
353,6
357,15
360,111
361,13
362,6
363,8
377,12
378,14
379,6
388,17
392,12
394,24
395,19
402,55
406,14
410,8
411,11
412,34
413,32
414,13
423,23
424,84
425,81
426,59
427,30
428,21
429,7
430,32
431,9
436,32
437,50
438,119
439,67
440,173
441,75
442,67
443,34
447,9
449,6
450,24
451,59
452,187
453,263
454,228
455,133
456,113
457,41
458,13
459,6
461,11
462,89
463,32
464,28
465,32
466,152
467,207
468,620
469,239
470,111
471,31
473,7
475,8
477,15
478,22
480,19
481,32
482,439
483,318
484,199
485,65
486,19
487,11
490,23
493,18
495,9
496,16
498,41
499,45
500,55
503,7
504,8
508,125
509,14
510,124
511,7
512,52
513,26
514,104
515,49
522,42
524,6
526,27
527,114
528,32
533,10
536,17
537,245
538,97
539,9
540,26
541,100
542,221
543,52
544,20
548,22
550,50
551,8
552,7
553,28
554,9
555,8
556,260
557,53
558,9
560,55
561,9
562,38
565,7
566,10
567,502
568,189
569,27
570,29
571,16
572,27
582,20
583,106
584,32
586,7
587,9
588,10
592,10
593,12
595,6
596,8
599,20
600,49
601,15
608,15
610,12
611,10
613,8
614,59
615,860
616,261
617,149
618,25
633,8
641,9
642,15
658,38
659,558
660,232
661,45
674,19
698,6
740,43
741,6
742,49
743,10
744,11
768,8
772,191
773,122
784,7
787,7
792,196
793,81
794,149
795,50
796,21
810,39
811,9
812,11
820,24
832,51
833,14
834,14
836,10
838,28
839,8
850,6
853,6
868,6
871,6
892,14
893,1097
894,717
895,250
896,56
897,11
909,6
951,6
958,112
959,69
960,10
