"m.z","int"
106,22
108,8
110,6
116,72
118,16
120,137
121,15
126,16
129,78
130,19
131,55
132,88
134,24
135,18
136,54
138,224
139,8
140,15
142,29
143,16
144,19
146,58
148,18
150,207
151,54
152,35
153,21
154,196
155,28
156,55
157,19
158,54
160,32
162,7
164,29
165,29
166,67
168,43
169,9
170,58
172,33
174,37
175,21
176,6
178,70
179,9
180,31
181,12
182,28
183,10
184,23
185,64
186,31
188,8
190,8
192,36
193,15
194,29
196,13
198,35
199,14
200,55
202,9
206,9
208,14
210,14
212,22
214,52
218,8
219,8
220,15
222,17
224,20
226,10
229,7
231,7
232,36
234,16
236,15
240,199
241,13
243,8
246,8
248,9
250,19
258,35
262,7
268,15
271,9
272,21
274,7
276,228
277,23
278,18
280,83
282,14
286,57
291,50
292,14
294,12
302,9
304,24
306,159
307,11
308,38
310,30
312,17
314,13
318,74
319,6
324,36
326,227
327,38
328,20
330,7
338,57
346,22
348,10
356,6
360,98
361,9
364,6
384,6
402,16
412,16
413,10
415,7
422,10
423,13
424,73
425,57
426,38
427,15
428,15
430,67
431,17
436,13
437,19
438,82
439,76
440,115
441,53
442,44
443,11
444,9
447,6
450,28
451,46
452,168
453,261
454,161
455,57
456,46
457,14
458,16
461,31
462,97
463,56
464,8
465,24
466,141
467,193
468,596
469,200
470,69
471,16
474,10
476,11
477,9
478,11
480,15
481,26
482,436
483,283
484,198
485,46
490,41
491,6
494,8
496,26
498,51
499,63
500,20
503,17
507,6
508,268
509,29
510,112
511,8
512,41
513,11
514,96
515,70
516,34
522,17
526,20
527,104
528,40
536,15
537,643
538,257
539,42
540,34
541,101
542,301
543,90
544,13
546,7
550,8
553,19
554,15
555,15
556,290
557,81
558,11
560,80
561,8
562,28
565,50
566,8
567,157
568,56
569,8
570,34
571,12
572,19
582,80
583,624
584,254
585,33
588,13
590,23
596,7
598,6
599,45
600,56
601,9
608,42
609,7
610,11
614,65
615,963
616,350
617,131
618,31
625,9
630,9
632,12
641,34
642,51
643,11
657,11
658,105
659,1566
660,625
661,94
673,7
674,21
675,19
676,7
770,17
772,274
784,17
787,38
788,12
789,10
790,9
792,390
793,187
794,154
795,62
801,8
808,14
809,7
812,10
827,17
832,16
834,21
835,16
838,6
849,20
852,29
871,20
872,13
892,12
893,1601
894,1072
895,279
896,110
897,9
909,19
910,6
958,41
959,24
