"m.z","int"
103,19
104,12
106,31
108,6
110,12
111,8
115,20
116,67
119,9
120,191
121,76
122,120
123,7
124,434
125,21
129,75
130,20
131,149
132,277
133,45
134,1546
135,42
136,139
137,11
138,186
139,222
140,973
141,223
142,35
143,35
145,9
146,52
148,30
150,61
151,167
152,183
153,129
154,188
155,37
156,30
157,4298
158,12
159,67
160,15
161,6
162,124
163,12
164,85
165,25
166,226
167,134
168,122
169,82
170,665
171,32
172,88
174,300
175,965
176,364
177,21
178,214
179,853
180,240
181,415
182,334
183,41
184,8
185,214
186,44
188,74
189,13
190,125
192,275
193,104
194,1443
195,120
196,155
198,42
199,421
200,70
201,203
202,72
203,7
204,53
205,9
206,1397
207,237
208,193
209,111
210,163
211,109
212,74
213,34
214,70
215,7
216,132
217,2795
218,87
219,112
220,71
221,374
222,596
223,262
224,146
225,52
226,20
227,50
228,86
229,40
230,913
231,84
232,85
233,13
234,52
235,789
236,99
237,142
238,90
239,103
240,26
241,165
242,29
243,108
244,62
245,142
246,304
247,71
248,98
249,36
250,182
251,605
252,66
253,26
254,224
255,17
256,78
257,952
258,36
259,502
260,33
261,174
262,99
263,267
264,48
265,6
266,140
267,361
268,63
269,45
270,28
271,37
272,64
273,574
274,60
275,140
276,65
277,2481
278,60
279,291
280,33
281,360
282,89
283,139
284,283
285,18
286,42
287,72
288,112
289,580
290,37
291,111
292,59
293,39
294,77
295,127
296,83
297,164
298,16
299,1098
300,22
301,78
302,33
303,27
304,55
305,362
306,117
307,57
308,37
309,89
310,17
311,221
312,57
313,146
314,43
315,401
316,41
317,172
318,81
319,630
320,31
321,157
323,86
324,158
325,16
326,137
327,354
328,21
329,291
330,32
331,69
332,45
333,182
334,115
335,121
336,6
337,1763
338,23
339,336
340,15
341,279
343,119
344,12
345,67
347,92
348,35
349,555
350,47
351,65
353,76
354,18
355,149
356,97
357,126
359,283
360,6
361,70
362,123
363,32
365,245
367,74
369,81
371,499
372,23
373,24
374,22
375,402
376,13
377,644
378,26
379,354
380,43
381,170
383,133
385,24
386,19
387,351
388,19
389,54
390,28
391,171
392,10
393,100
394,10
395,96
397,117
398,14
399,180
400,7
401,275
402,15
403,104
404,23
405,32
407,67
409,135
410,15
411,74
412,42
413,126
414,15
415,1097
416,25
417,170
418,6
419,59
420,7
421,210
422,15
423,74
424,63
425,140
426,96
427,426
428,67
429,71
430,31
431,161
433,33
434,15
435,31
436,19
437,552
438,111
439,271
440,110
441,152
442,58
443,250
444,21
445,31
446,6
447,83
449,258
450,35
451,137
452,197
453,555
454,177
455,171
456,107
457,808
458,24
459,192
461,20
462,41
463,53
464,28
465,201
466,138
467,232
468,562
469,584
470,116
471,88
472,24
473,44
474,6
475,91
476,10
477,31
478,24
479,133
480,25
481,225
482,458
483,372
484,200
485,126
486,23
487,140
489,35
490,13
491,134
493,96
494,14
495,105
496,25
497,192
498,78
499,192
500,34
501,38
503,136
505,14
507,106
509,73
510,14
511,57
512,42
513,75
514,132
515,328
516,13
517,75
519,116
520,6
521,21
523,40
525,55
526,34
527,200
528,50
529,208
530,10
531,117
533,18
535,90
536,7
537,220
538,50
539,47
540,45
541,181
542,267
543,128
544,17
545,38
547,123
549,11
551,137
553,335
554,23
555,40
556,292
557,316
558,43
559,51
560,98
561,22
563,51
565,29
567,95
568,13
569,93
570,24
571,42
572,73
573,92
575,82
577,53
579,46
581,47
582,34
583,151
584,36
585,49
586,8
587,41
588,19
589,122
591,61
593,8
595,80
597,46
599,80
600,68
601,40
602,6
603,22
605,16
607,108
609,11
611,99
613,144
614,93
615,1179
616,387
617,252
618,35
619,40
623,24
625,47
627,41
628,8
629,57
630,59
631,104
632,27
633,40
635,59
637,22
639,55
641,53
642,33
643,42
645,32
647,25
649,62
651,44
653,19
655,95
657,43
658,73
659,892
660,335
661,48
663,13
665,20
667,83
669,12
671,77
673,52
675,71
676,18
677,29
679,16
681,6
682,10
683,12
685,64
687,31
689,32
691,48
693,22
695,46
697,35
699,8
701,7
703,38
705,14
707,18
709,54
711,24
713,53
715,38
717,10
719,8
721,20
725,35
727,59
729,31
731,17
733,47
737,29
739,13
741,16
745,48
749,36
751,51
753,7
755,34
757,14
761,13
763,23
765,7
767,247
769,35
771,7
773,27
775,17
777,9
779,15
781,14
783,8
785,14
787,38
789,6
791,19
793,33
799,9
805,39
809,20
811,45
815,9
823,20
829,19
831,7
833,23
834,19
835,8
841,18
845,14
847,27
849,9
850,7
851,11
853,27
857,13
863,9
865,11
869,12
871,69
872,18
875,8
883,14
887,7
889,19
891,39
892,37
893,2546
894,1651
895,430
896,146
897,40
901,24
905,8
907,39
908,43
909,224
910,139
911,35
912,9
913,8
925,46
926,23
929,6
931,24
935,6
943,13
951,6
953,10
954,6
961,14
965,7
967,14
971,8
973,18
979,7
985,11
991,20
