"m.z","int"
105,29
106,23
107,100
110,44
113,15
115,25
121,31
122,49
123,124
125,83
126,63
129,12
131,28
138,42
139,119
140,108
141,84
150,51
152,77
154,67
157,139
158,11
161,14
163,11
166,16
170,47
172,11
173,25
178,17
179,29
180,17
189,12
192,15
194,59
195,15
200,19
204,17
205,12
212,13
218,13
219,15
223,25
224,27
235,17
261,13
279,11
280,44
306,31
334,13
424,14
440,13
452,44
453,73
462,11
466,33
467,22
468,168
469,26
482,127
483,66
484,33
514,20
527,36
541,18
542,67
556,47
557,13
560,28
583,38
584,14
600,17
615,288
616,81
617,34
659,140
660,51
768,294
893,333
894,209
895,44
896,12
