"m.z","int"
112,16
114,6
115,15
117,34
118,135
119,60
127,8
128,25
131,39
132,100
133,34
134,29
136,31
142,39
143,127
144,7
145,15
146,69
150,36
151,142
153,8
154,12
155,22
156,141
157,23
158,24
159,18
160,18
164,14
170,88
171,8
172,9
173,13
174,37
175,9
176,9
177,13
178,12
180,55
182,16
184,33
185,14
186,33
188,19
192,8
195,8
196,13
198,14
199,6
200,28
201,17
202,8
204,14
206,367
207,39
209,8
210,39
212,78
213,7
214,24
215,32
219,7
220,6
221,9
223,8
224,26
225,19
226,26
228,6
230,9
235,17
238,7
239,17
240,28
242,8
243,38
245,21
246,6
248,16
251,29
254,16
256,14
259,7
267,18
279,13
283,18
285,8
298,23
307,19
312,11
319,12
328,21
341,7
363,21
374,6
381,9
443,6
465,12
483,6
505,14
567,7
770,213
802,8
