"m.z","int"
105,57
107,33
108,45
110,57
112,58
113,53
114,81
115,704
116,48
117,38
118,323
120,105
124,162
125,272
126,156
127,61
128,93
129,32
130,238
131,72
132,52
133,266
134,25
135,62
136,274
137,263
138,147
139,79
140,238
141,29
142,78
143,178
144,26
145,43
146,22
147,23
149,47
150,148
151,128
152,462
153,134
154,21
155,1370
157,438
158,28
159,438
160,151
161,25
162,44
163,25
165,34
167,103
168,115
169,74
170,31
171,169
174,73
175,142
176,23
177,513
179,175
180,24
181,367
182,436
185,65
186,88
187,31
189,29
192,49
193,107
194,105
195,246
196,49
197,108
198,54
199,801
201,95
205,43
208,79
209,304
210,167
211,152
213,304
214,70
215,326
216,43
217,131
218,519
220,143
221,22
224,27
226,122
227,22
228,50
229,89
230,36
231,173
232,41
233,68
235,329
236,29
237,206
239,307
240,74
241,91
242,71
243,23
244,49
248,80
250,24
251,33
252,51
254,22
255,51
256,22
257,188
259,56
260,21
261,201
262,79
265,61
266,26
268,26
271,32
273,122
275,45
278,21
279,244
280,93
284,31
289,102
291,88
292,24
293,144
295,212
297,117
298,76
301,225
306,30
307,56
308,57
313,138
315,32
317,164
319,126
321,37
323,31
328,23
337,66
351,30
352,26
353,70
359,99
363,23
381,40
399,24
403,36
462,30
471,21
531,29
615,24
629,21
710,25
727,36
768,53
769,82
783,23
792,23
807,33
821,24
844,22
845,71
894,46
925,38
949,23
954,106
977,27
