"m.z","int"
114,11
117,42
124,30
125,11
128,18
130,26
131,30
133,28
136,29
137,18
142,50
146,26
150,12
153,59
154,37
156,79
160,11
164,19
169,23
170,67
172,44
173,23
174,44
177,14
178,21
180,37
184,54
185,18
186,45
188,23
194,29
198,14
200,33
202,11
206,66
210,12
212,94
213,18
214,54
215,28
224,24
226,88
228,14
235,41
240,28
243,79
246,11
248,54
250,21
251,24
252,29
254,131
256,15
268,15
270,39
279,14
283,13
284,51
298,15
300,23
302,415
303,65
318,18
363,19
438,15
482,46
484,75
520,18
528,34
716,19
718,11
727,12
738,60
739,12
752,20
766,32
768,159
769,67
770,19
772,58
801,44
802,20
804,58
812,38
813,18
860,25
