"m.z","int"
118,15
122,24
123,35
124,15
125,11
130,80
132,94
138,16
140,28
144,12
145,14
148,25
152,15
154,16
157,60
158,23
164,11
166,16
169,23
172,99
174,13
180,11
181,14
184,12
190,12
193,19
202,82
210,43
214,26
226,37
231,20
232,42
233,14
234,28
236,11
238,38
242,80
248,12
253,12
254,12
256,40
268,53
272,85
280,34
283,11
284,38
292,38
296,11
300,69
302,51
310,37
320,11
324,23
326,17
335,47
338,61
348,36
361,47
363,199
364,120
366,307
367,37
368,83
374,53
376,229
377,12
390,40
392,50
399,11
418,157
419,14
420,416
421,65
482,27
484,25
504,15
518,13
526,18
528,368
529,47
548,34
554,21
556,187
557,27
558,41
564,16
584,30
586,50
592,53
593,19
607,11
608,14
610,31
658,40
659,47
664,30
665,12
674,16
682,23
694,41
695,18
704,50
738,54
739,28
748,122
749,49
764,11
766,187
928,56
929,27
930,11
938,13
939,12
982,91
983,77
