"m.z","int"
118,54
122,15
123,41
125,41
127,29
130,226
132,37
133,11
135,11
136,12
140,13
143,24
144,21
146,19
148,13
152,15
153,26
154,16
155,28
157,125
158,12
160,17
162,19
165,18
167,11
172,61
173,19
176,11
193,19
198,11
202,105
209,22
215,11
226,113
231,13
238,39
242,38
250,366
251,24
253,13
254,24
256,17
264,16
266,11
268,215
269,16
276,48
284,112
286,12
300,199
302,960
303,158
304,24
312,14
316,57
318,119
332,17
334,53
338,11
340,59
348,13
361,58
362,11
364,78
366,21
374,94
388,16
392,67
412,12
418,195
419,20
420,11
430,37
482,26
486,135
487,19
519,23
522,204
523,24
524,62
525,11
526,25
528,350
529,48
532,126
533,12
546,12
550,75
554,98
555,11
556,619
557,150
576,380
577,78
578,33
580,64
582,82
583,21
584,12
586,28
614,42
630,17
640,15
714,28
718,18
738,88
739,18
740,96
748,12
751,15
754,65
755,36
760,80
761,21
764,51
766,38
767,157
786,39
788,65
789,27
792,24
806,19
808,106
809,43
812,41
834,13
840,11
860,34
861,18
