"m.z","int"
105,13
111,40
112,27
113,34
114,39
115,73
116,37
117,90
118,322
119,32
120,90
121,50
122,6
123,25
124,47
125,499
126,88
127,83
128,54
129,18
130,73
131,84
132,20
133,134
134,79
135,47
136,189
137,167
138,82
139,27
140,141
141,84
142,148
143,269
144,19
145,59
146,117
147,87
148,24
149,34
150,316
151,63
152,113
153,100
154,111
155,653
156,215
157,53
158,82
159,83
160,117
161,28
162,87
163,12
164,60
165,46
166,82
167,84
168,42
169,58
170,112
171,52
172,77
173,305
174,87
175,23
176,36
177,105
178,60
179,14
180,70
181,35
182,62
183,109
184,140
185,59
186,121
188,37
189,12
190,17
191,8
192,51
193,13
194,41
195,80
196,58
198,99
199,170
200,94
201,20
202,38
203,14
204,6
205,25
206,137
207,9
208,28
209,22
210,38
211,18
212,193
213,37
214,53
215,115
216,36
217,90
218,6
219,11
220,67
221,84
222,33
223,20
224,170
225,23
226,116
227,18
228,42
230,29
231,25
232,16
233,331
234,59
235,57
236,15
237,11
239,11
240,134
241,38
242,38
243,98
244,16
246,23
248,67
249,21
251,102
252,179
253,7
254,1584
255,321
256,43
257,6
258,6
259,61
260,21
261,22
262,9
264,21
265,39
267,6
268,62
269,7
270,118
272,12
274,13
275,62
276,38
277,99
278,157
279,25
280,14
281,21
282,38
283,6
284,6
285,15
286,11
287,6
288,16
291,6
293,115
294,8
295,22
298,55
299,14
300,24
302,8
303,12
309,7
310,6
311,31
312,29
313,7
314,7
315,33
316,293
317,34
318,110
319,26
321,16
325,13
330,63
331,28
332,304
333,56
334,230
335,118
337,47
338,30
339,20
340,9
346,38
348,107
350,23
353,16
355,24
359,17
361,153
362,23
363,45
364,121
366,30
371,37
372,7
374,7
380,7
381,9
388,8
393,22
397,8
398,6
405,7
408,11
410,12
418,7
456,38
481,6
482,104
483,12
484,253
485,40
488,6
490,10
500,28
521,8
524,33
526,31
528,238
529,35
530,8
553,6
554,6
556,65
557,13
558,9
582,53
583,8
584,39
772,255
