"m.z","int"
105,11
106,20
114,24
115,42
116,69
118,430
120,54
121,61
123,13
125,324
126,13
127,17
130,31
132,61
133,30
134,11
135,86
136,118
137,14
138,93
139,159
140,162
141,57
142,50
143,185
144,18
145,145
146,101
147,23
148,15
149,14
150,188
151,16
152,32
153,41
154,28
155,391
157,155
159,241
160,55
162,56
163,21
164,63
165,30
166,58
167,75
168,72
172,12
173,66
174,30
175,405
176,52
179,23
181,24
183,18
190,87
193,18
197,39
198,12
199,37
201,67
202,21
203,63
204,14
207,11
208,12
209,195
214,15
215,11
216,14
217,35
219,162
226,100
227,14
229,11
233,28
235,360
236,27
237,30
238,13
250,21
251,15
253,31
254,44
257,36
259,24
261,30
263,11
266,13
279,156
284,57
293,17
295,157
296,12
297,49
300,40
302,135
307,35
313,71
314,14
321,13
322,98
323,133
335,29
336,164
337,13
339,49
341,20
349,16
355,119
356,14
357,47
365,41
372,40
373,53
393,17
395,16
397,13
399,15
415,35
431,18
480,16
493,18
509,17
535,19
551,25
553,14
659,17
668,18
692,12
694,20
720,24
738,576
739,175
740,16
754,11
762,151
763,27
764,562
765,173
766,347
767,195
768,67
770,23
786,153
787,41
790,33
792,337
793,119
801,66
803,19
804,420
805,166
806,162
807,43
808,28
814,72
815,23
816,33
858,108
859,23
860,57
970,33
