"m.z","int"
108,9
112,34
114,6
117,121
118,25
122,9
125,27
126,34
127,17
128,57
130,7
131,84
132,21
136,71
137,9
138,10
140,12
142,92
143,15
145,7
146,67
150,30
151,18
152,7
153,23
154,53
155,12
156,132
159,13
160,50
162,11
163,10
164,37
165,21
166,13
168,14
170,116
172,30
173,25
174,50
178,42
180,96
182,22
184,58
186,73
188,54
192,21
195,7
196,25
198,47
200,73
202,40
206,704
207,69
208,7
210,50
212,146
214,45
215,80
216,7
219,56
220,12
224,70
226,124
228,38
230,21
234,9
235,63
240,61
242,26
243,91
248,65
250,15
251,72
252,31
254,139
256,34
270,6
284,20
285,13
298,47
300,10
302,43
331,15
369,7
372,15
659,16
692,6
738,20
762,37
764,56
765,13
766,94
767,32
768,43
769,11
770,71
771,173
786,26
790,7
792,28
801,70
802,31
803,7
804,68
805,23
814,7
858,14
