"m.z","int"
103,16
105,7
106,19
108,18
109,7
110,6
111,132
112,45
113,107
114,80
115,98
116,59
117,164
118,629
119,108
120,141
121,138
122,32
123,147
124,14
125,524
126,106
127,120
128,157
129,42
130,64
131,138
132,84
133,171
134,115
135,86
136,394
137,519
138,191
139,203
140,172
141,93
142,221
143,356
144,61
145,131
146,299
147,138
148,34
149,56
150,273
151,106
152,157
153,231
154,160
155,519
156,293
157,123
158,66
159,85
160,217
161,28
162,264
163,94
164,186
165,119
166,95
167,83
168,45
169,29
170,248
171,110
172,192
173,68
174,148
175,7
176,62
177,104
178,100
179,103
180,196
181,51
182,60
183,101
184,134
185,31
186,155
187,11
188,128
190,11
191,68
192,86
193,45
194,27
195,224
196,111
197,58
198,136
199,94
200,178
201,71
202,140
203,11
204,47
205,12
206,480
207,54
208,18
209,64
210,74
211,44
212,332
213,133
214,123
215,140
216,48
217,31
218,37
219,49
220,181
221,10
222,42
223,16
224,213
225,6
226,471
227,18
228,59
229,59
230,40
231,26
232,61
233,30
234,44
235,137
236,59
237,34
238,79
239,8
240,163
241,31
242,148
243,168
244,63
245,27
246,9
247,17
248,148
249,13
250,43
251,210
252,125
253,18
254,534
255,46
256,39
257,37
258,33
259,42
260,36
261,20
264,6
265,48
268,15
270,29
271,19
272,17
275,7
276,7
278,15
282,13
283,84
284,328
285,82
286,48
287,16
289,8
290,10
293,6
294,7
297,12
298,187
299,17
300,330
301,10
302,766
303,119
304,8
306,7
312,7
318,22
324,22
328,6
331,50
340,26
341,14
342,56
343,6
358,42
360,16
367,14
369,19
371,6
372,76
373,6
405,15
410,6
456,6
482,60
484,191
485,11
486,10
510,13
517,17
519,7
520,59
522,10
526,7
528,274
529,45
530,6
542,9
550,20
554,39
556,243
557,47
578,6
586,18
588,8
604,12
614,19
659,36
660,12
720,7
722,6
734,25
736,55
737,12
738,147
739,40
748,42
750,33
751,12
762,44
764,206
765,78
766,49
767,8
768,146
769,43
770,11
772,271
786,11
787,7
792,141
793,40
801,41
802,16
803,10
804,76
805,22
806,16
807,6
812,19
840,95
841,28
925,10
928,9
