"m.z","int"
106,47
111,47
112,24
113,30
114,37
115,60
116,47
117,58
118,399
119,118
120,82
121,119
123,14
124,23
125,480
126,68
127,68
128,63
129,11
130,81
131,83
132,54
133,85
134,62
135,31
136,156
137,346
138,65
139,81
140,137
141,56
142,120
143,219
144,31
145,39
146,190
147,87
148,20
149,21
150,276
151,49
152,125
153,85
154,132
155,449
156,181
157,64
158,56
159,52
160,71
161,20
162,191
163,64
164,81
165,39
166,49
167,34
169,16
170,146
171,86
172,49
173,61
174,77
176,49
177,72
178,29
179,31
180,78
182,25
183,80
184,61
185,16
186,92
188,45
190,44
191,27
192,75
194,24
195,102
196,33
197,30
198,75
199,47
200,91
201,45
202,64
203,24
204,45
206,213
207,11
208,22
209,74
210,97
211,18
212,137
213,97
214,49
215,80
216,33
217,56
219,16
220,119
222,15
223,25
224,45
226,129
227,16
228,35
230,12
231,16
232,23
233,59
234,13
235,85
236,13
238,35
239,32
240,69
241,30
242,19
243,79
244,16
245,14
248,131
250,22
251,82
252,124
254,663
255,77
260,13
261,15
265,11
270,15
271,13
275,11
276,11
277,16
284,20
285,13
293,14
298,22
300,33
302,846
303,154
311,11
316,11
318,41
328,19
334,47
338,20
371,14
390,12
399,11
406,20
418,270
419,31
476,20
482,18
484,43
517,23
520,107
521,13
522,105
526,16
528,42
556,167
557,15
558,30
608,21
659,19
694,36
738,40
754,11
764,39
766,15
771,86
772,116
792,13
801,22
802,13
804,94
805,24
806,17
