"m.z","int"
103,41
104,8
107,13
108,239
109,294
110,93
112,377
114,245
115,95
116,249
117,523
118,269
119,143
120,217
121,56
122,67
123,125
124,138
125,87
126,459
127,830
128,691
129,117
130,33
131,537
132,392
133,62
134,149
135,464
136,609
137,264
138,223
139,88
140,259
141,22
142,784
143,201
144,55
145,297
146,2242
147,648
148,32
149,138
150,705
151,306
152,221
153,513
154,436
155,3126
156,1417
157,388
158,88
159,303
160,703
161,233
162,103
163,150
164,343
165,317
166,266
167,180
168,391
169,84
170,797
171,312
172,450
173,1657
174,936
175,413
176,58
177,757
178,456
179,202
180,676
181,176
182,364
183,50
184,643
185,44
186,528
187,75
188,598
189,87
190,274
191,68
192,572
193,412
194,302
195,673
196,402
197,183
198,652
199,464
200,700
201,210
202,715
203,63
204,51
205,162
206,706
207,187
208,330
209,447
210,627
211,98
212,1013
213,149
214,456
215,559
216,177
217,112
218,106
219,516
220,369
221,550
222,102
223,114
224,550
225,63
226,712
227,293
228,351
229,73
230,262
231,206
232,91
233,1227
234,155
235,763
236,118
237,174
238,154
239,75
240,565
241,151
242,352
243,627
244,149
246,79
247,104
248,534
249,146
250,236
251,469
252,439
253,102
254,2820
255,1025
256,221
257,278
258,205
259,204
260,21
261,98
262,17
263,88
264,109
265,165
266,90
267,26
268,130
269,31
270,278
271,179
272,148
273,53
274,35
275,158
276,161
277,346
278,41
279,127
280,79
281,127
282,131
283,21
284,136
285,221
286,113
287,115
288,138
289,54
290,39
291,108
292,52
293,469
294,52
295,177
296,8
297,28
298,316
299,175
300,197
301,57
302,7077
303,1449
304,154
305,31
307,17
309,22
310,72
311,215
312,69
313,84
314,81
315,260
316,135
317,74
318,193
319,52
320,78
321,147
322,12
323,27
324,24
325,37
326,19
327,12
328,47
329,18
330,23
331,134
332,33
333,171
334,181
335,141
336,148
337,187
338,441
339,75
340,121
341,24
342,31
343,11
344,21
345,54
347,6
348,16
349,6
350,28
351,45
352,65
353,67
354,22
355,176
356,14
357,46
358,21
359,85
360,65
361,26
362,13
363,6
364,14
365,13
366,22
367,70
368,15
369,51
370,46
371,229
372,149
373,79
375,19
376,29
377,39
378,90
379,14
380,14
381,27
383,6
385,6
386,7
388,18
389,6
390,7
391,35
392,107
393,169
394,12
395,47
396,15
397,69
398,8
399,24
401,16
402,27
403,53
405,83
406,10
407,6
408,15
409,12
410,32
411,33
413,42
414,35
415,72
417,7
419,12
421,12
425,8
426,7
427,6
429,7
431,63
432,8
433,24
435,7
437,35
438,12
439,6
440,6
449,20
451,10
453,16
455,39
456,6
457,13
458,7
459,9
460,6
461,6
462,22
464,6
465,12
471,51
472,6
473,11
475,14
477,12
481,6
482,196
483,25
484,435
485,69
486,34
487,6
488,6
489,9
490,9
493,35
497,24
498,7
500,65
502,8
504,25
509,20
517,104
518,16
519,39
520,489
521,141
522,363
523,55
524,103
526,92
527,18
528,149
529,19
530,24
531,19
535,11
536,13
541,10
550,13
551,12
553,6
554,8
556,57
557,9
558,9
574,41
575,7
576,11
586,8
604,218
605,77
613,11
659,32
660,17
686,18
692,13
694,75
695,19
696,12
720,75
721,24
730,11
732,11
734,12
736,62
738,180
739,45
750,22
752,11
754,6
756,15
758,13
762,8
763,6
764,53
765,18
766,87
767,33
768,151
769,38
770,245
778,9
784,91
785,24
786,45
787,10
788,9
801,141
802,55
803,50
804,579
805,255
806,319
807,114
808,64
809,9
810,10
811,8
812,20
820,9
822,6
828,8
840,30
858,35
859,12
860,9
883,6
925,10
928,9
929,6
