"m.z","int"
108,13
112,22
117,77
118,11
123,19
126,24
127,21
128,65
131,113
132,40
136,101
138,21
142,142
146,78
147,17
150,45
151,27
153,36
154,63
156,128
159,17
160,68
163,19
164,36
165,26
166,26
167,24
168,14
169,11
170,136
172,28
173,19
174,50
178,46
180,120
182,23
184,71
186,72
188,62
192,50
194,15
195,15
196,29
198,53
200,103
202,52
206,727
207,54
210,43
212,180
214,77
215,84
220,13
223,12
224,76
226,89
228,47
230,23
232,15
235,124
240,68
242,42
243,169
248,103
250,14
251,73
252,30
254,75
256,22
258,13
265,16
270,20
279,14
285,23
298,53
302,132
303,19
331,18
367,13
369,22
372,17
766,61
767,14
768,43
772,97
801,84
802,25
804,49
