"m.z","int"
103,22
104,74
110,11
112,129
114,147
117,90
118,61
122,13
123,45
124,8
125,12
126,74
127,10
128,151
129,78
130,264
131,426
132,97
133,87
134,19
135,18
137,71
138,123
140,23
142,71
144,45
145,26
147,34
150,204
151,58
152,13
153,48
154,130
155,14
156,322
157,66
158,37
159,97
160,61
163,28
164,106
165,6
166,20
167,16
168,34
169,10
170,11
171,19
172,150
173,87
174,139
175,16
178,160
180,49
182,40
183,7
184,184
186,11
187,16
188,67
191,6
192,83
195,13
196,42
198,35
199,7
200,89
202,182
203,12
205,10
206,94
210,20
212,73
214,169
216,26
220,6
224,130
225,6
226,91
227,21
228,62
230,94
231,67
234,13
238,13
240,108
241,11
242,132
244,43
245,6
248,79
249,7
250,32
252,73
255,99
256,100
258,70
259,63
265,8
266,9
267,8
268,65
269,11
270,107
271,52
272,17
273,40
276,7
278,12
280,64
282,9
284,105
285,102
286,12
287,86
289,18
298,47
300,124
302,259
303,41
304,53
316,6
318,7
328,39
329,7
331,6
360,6
482,29
483,6
484,27
510,18
528,21
550,43
554,9
658,12
659,24
660,12
692,12
736,18
738,357
739,138
740,16
748,16
758,16
760,31
762,63
763,15
764,231
765,85
766,165
767,242
768,18
769,7
786,115
787,48
788,16
789,8
790,7
796,7
804,11
858,15
928,6
982,12
