"m.z","int"
103,12
104,18
108,9
109,22
112,36
114,40
117,29
118,59
120,19
121,61
122,123
123,6
125,110
126,21
128,34
130,48
131,73
132,10
133,27
134,17
135,34
136,12
137,77
138,35
139,27
140,25
141,18
142,25
143,34
144,6
145,31
146,10
147,47
149,8
150,147
151,15
152,8
153,26
154,60
155,537
156,226
157,143
158,48
159,37
160,36
161,47
163,16
164,51
165,51
166,6
167,28
168,11
169,32
171,68
172,59
173,125
174,99
175,54
177,25
178,57
179,6
180,49
181,204
182,59
183,108
184,84
185,7
187,15
188,30
189,44
190,21
192,33
193,41
194,28
195,126
196,8
198,86
199,276
200,59
201,38
202,61
203,7
204,25
205,124
206,24
207,32
209,156
211,10
212,33
214,30
215,391
216,41
217,233
218,20
219,13
220,76
221,148
222,14
223,7
224,77
225,72
226,34
227,188
228,45
229,6
230,40
231,16
232,6
233,703
234,58
235,47
236,9
237,32
238,62
240,42
242,73
243,120
244,49
245,34
246,8
247,16
248,6
249,54
251,28
252,123
253,80
254,57
255,567
256,55
258,51
259,207
260,13
261,94
262,28
263,50
264,15
265,74
266,23
267,14
268,132
269,18
270,375
271,199
272,42
273,7
275,175
276,53
277,329
278,12
279,23
280,42
281,76
283,8
284,38
285,56
286,34
287,189
288,46
289,57
293,256
294,22
295,59
297,7
298,20
299,100
300,54
301,11
302,27
303,101
304,14
305,88
307,11
309,9
310,8
311,91
312,25
313,23
315,121
318,26
319,109
320,9
321,83
323,91
324,6
325,22
327,27
329,7
330,12
331,44
333,36
335,6
336,20
337,140
338,6
339,7
343,8
345,54
347,79
349,47
353,70
354,7
355,70
356,7
359,53
361,89
362,19
363,47
364,93
365,56
366,55
368,7
371,79
374,22
376,6
377,8
381,42
385,11
387,7
388,8
391,29
392,6
393,64
397,57
398,12
399,7
403,6
405,17
413,19
415,23
416,6
418,111
419,28
420,52
425,19
431,13
437,9
441,19
453,17
457,9
459,9
469,7
482,67
484,32
500,14
508,9
513,7
526,41
528,148
529,19
542,26
554,23
556,242
557,41
572,20
580,27
582,158
583,31
584,75
585,23
586,10
614,14
767,168
