"m.z","int"
103,10
111,15
112,23
113,7
114,9
115,9
116,14
117,72
118,96
120,27
123,16
125,98
126,39
127,19
128,62
131,74
132,34
133,16
134,9
136,119
137,18
138,41
140,50
141,7
142,111
143,99
145,32
146,73
147,34
149,6
150,100
151,16
152,15
153,22
154,71
155,20
156,169
159,13
160,82
163,11
164,19
165,15
166,27
167,23
168,22
169,12
170,144
172,22
173,10
174,61
176,8
178,28
179,6
180,108
182,25
184,78
185,7
186,78
188,39
192,35
194,8
196,24
198,60
199,6
200,88
201,7
202,23
206,216
207,6
210,44
212,122
214,65
215,65
216,6
219,17
220,20
224,46
226,78
228,32
230,12
232,24
235,32
238,9
240,33
242,22
243,118
248,32
250,17
251,85
252,21
254,135
256,33
258,12
265,15
268,6
270,11
271,6
272,8
275,6
276,14
284,19
285,17
298,23
300,19
302,117
659,24
694,24
756,9
764,6
766,31
768,14
769,6
771,67
772,180
786,52
787,20
790,7
792,36
793,9
801,32
802,11
803,21
804,61
805,13
806,55
807,15
829,7
970,11
