"m.z","int"
108,18
111,15
112,44
113,11
114,37
116,37
117,169
118,58
121,23
122,12
123,43
125,49
126,52
127,15
128,131
130,44
131,136
132,74
133,33
135,13
136,143
137,172
138,50
139,20
140,72
142,225
143,53
145,11
146,164
147,19
150,113
151,52
152,42
153,117
154,73
155,229
156,249
157,14
159,32
160,134
162,17
163,32
164,82
165,40
166,49
167,14
168,32
169,29
170,213
172,194
173,115
174,112
177,28
178,69
180,122
182,71
184,114
186,94
188,111
190,15
192,53
195,38
196,41
198,96
199,71
200,129
202,19
206,380
208,26
210,103
212,384
213,11
214,88
215,119
217,12
219,73
220,38
221,33
224,127
226,259
228,84
230,27
232,40
233,74
234,13
235,82
237,17
240,150
242,71
243,177
248,144
250,42
251,172
252,120
254,451
255,73
256,30
258,16
265,16
270,37
276,50
277,26
280,12
283,14
284,112
285,22
293,27
298,104
300,104
302,881
303,145
312,13
318,17
328,30
331,26
334,11
338,12
372,28
482,165
483,32
484,197
485,29
500,29
510,16
517,13
520,19
522,13
528,37
530,14
550,21
552,14
604,16
659,30
694,12
720,13
738,101
739,27
758,41
760,52
761,16
762,136
763,35
764,11
766,100
767,21
768,106
769,32
772,192
784,22
786,95
787,40
801,29
804,30
925,17
