"m.z","int"
103,13
104,32
112,41
114,36
117,29
122,8
123,15
126,14
128,36
131,83
132,19
138,43
142,6
144,7
145,8
149,6
150,57
151,17
153,6
154,47
156,111
158,9
159,23
163,10
164,36
168,6
172,9
173,23
174,26
178,37
180,35
182,9
184,68
188,21
192,39
196,7
198,11
200,11
202,25
206,12
212,36
214,43
216,8
224,57
228,11
230,26
231,6
234,6
240,28
242,40
244,8
248,11
252,6
255,18
256,44
258,21
259,11
268,8
270,30
271,23
273,6
285,30
287,7
289,7
302,87
303,8
482,19
484,43
485,10
658,10
659,43
660,17
748,29
749,15
766,20
767,215
768,12
786,59
787,9
801,10
804,7
858,27
859,15
982,7
983,6
