"m.z","int"
103,23
104,32
107,7
108,6
111,45
112,60
113,27
114,72
115,46
116,6
117,35
118,273
119,116
120,44
121,12
122,11
123,34
124,7
125,346
126,56
127,100
128,72
129,471
130,464
131,623
132,115
133,225
134,75
135,51
136,65
137,152
138,78
139,36
140,56
141,53
142,105
143,115
144,82
145,83
146,40
147,281
148,31
149,77
150,270
151,65
152,38
153,107
154,202
155,236
156,449
157,174
158,90
159,69
160,112
161,22
162,39
163,50
164,57
165,40
167,89
168,8
169,18
170,16
171,13
172,169
173,168
174,93
175,22
176,58
177,58
178,73
179,21
180,40
181,48
182,15
183,177
184,123
185,78
187,6
188,58
190,51
191,10
192,137
193,25
194,13
195,23
196,22
198,89
199,35
200,45
201,38
202,215
203,9
204,6
205,12
206,103
207,23
209,94
210,13
211,11
212,33
213,22
214,68
215,42
216,38
217,9
218,8
219,9
223,29
224,104
225,13
226,67
227,9
228,16
230,49
231,39
232,8
234,21
235,31
236,14
237,41
238,55
239,23
240,91
241,23
242,94
244,62
245,26
247,10
248,361
249,53
250,29
252,147
253,27
254,13
255,99
256,56
258,40
259,30
261,10
264,9
266,13
267,49
268,198
269,83
270,214
271,100
272,66
273,31
274,197
275,33
276,131
277,15
278,50
280,71
281,7
284,86
285,60
286,85
287,35
288,8
289,10
290,17
292,21
293,15
294,10
295,11
298,30
300,129
302,463
303,82
304,29
305,14
306,15
307,12
310,6
312,27
314,60
316,40
318,53
325,9
327,19
328,76
329,27
331,18
332,6
334,24
338,44
339,10
340,22
342,7
351,10
353,12
354,7
355,8
356,7
362,28
363,55
364,52
365,13
366,414
367,68
368,152
369,14
370,12
373,17
376,26
378,7
385,16
386,19
387,6
389,6
390,39
392,6
396,24
398,9
411,11
412,39
414,12
418,13
420,95
438,12
440,6
443,7
445,6
449,7
469,9
471,6
478,14
480,15
482,38
484,16
503,7
505,9
506,15
508,9
528,43
529,7
556,45
557,12
558,22
559,8
561,16
576,90
577,20
584,9
586,14
686,7
720,10
738,58
739,21
740,6
766,10
767,199
776,18
786,169
787,63
792,7
812,14
830,15
892,7
897,6
948,7
952,10
962,6
964,7
969,7
993,10
994,15
