"m.z","int"
103,8
104,40
112,58
114,56
117,32
118,18
122,15
123,6
124,7
125,15
126,22
127,10
128,32
130,127
131,93
132,30
133,7
137,22
138,50
140,8
142,33
144,17
145,20
147,38
150,53
151,14
152,15
153,22
154,67
155,42
156,105
157,27
158,14
159,27
163,9
164,27
166,8
168,16
170,6
172,82
173,71
174,54
177,8
178,54
180,27
182,24
183,24
184,54
188,32
192,30
195,14
196,8
197,10
198,18
200,17
202,116
204,6
206,19
209,15
212,34
214,58
215,6
216,12
224,43
226,13
227,27
228,28
230,35
233,52
238,16
240,33
242,42
244,45
245,6
246,6
248,265
249,44
250,158
251,19
252,195
253,14
254,21
255,51
256,42
258,21
259,13
261,7
262,21
264,15
266,9
268,319
269,39
270,259
271,42
272,32
274,168
275,51
276,58
278,25
280,67
282,16
284,27
285,25
286,64
287,48
288,22
289,6
290,30
292,37
293,29
296,6
298,6
300,46
302,379
303,69
304,6
306,27
308,7
310,22
316,71
317,9
318,71
319,6
320,22
322,16
328,92
329,12
330,27
332,20
334,47
335,28
342,13
344,9
346,10
347,14
348,17
350,19
358,10
360,20
364,6
374,6
376,20
392,29
395,11
407,6
408,6
418,6
420,8
467,6
482,332
483,67
484,235
485,33
500,224
501,38
520,9
528,294
529,40
530,11
554,18
556,283
557,54
574,16
575,7
576,117
577,22
580,11
586,8
614,10
616,11
630,11
650,10
658,57
659,67
660,25
674,18
686,41
687,8
694,60
695,15
696,12
704,24
718,8
720,14
738,17
740,44
741,14
748,154
749,68
750,10
764,16
766,106
767,137
768,30
769,6
776,9
784,38
785,11
786,57
787,14
830,24
831,12
925,28
926,15
928,51
929,35
930,18
931,6
938,6
982,166
983,109
984,22
998,10
