"m.z","int"
105,26
106,17
108,20
116,15
120,86
121,12
124,24
129,13
131,20
132,29
133,42
134,9
136,129
138,288
139,26
140,23
142,8
146,6
150,96
152,41
154,28
158,56
161,9
164,28
165,29
166,24
168,56
173,10
175,12
178,23
180,10
181,7
185,18
192,22
194,17
200,6
204,9
208,10
210,6
218,14
223,6
250,6
298,12
332,23
334,10
352,6
360,8
406,7
467,6
468,33
482,15
483,6
491,8
497,8
537,21
542,6
583,57
584,17
585,7
615,19
616,10
631,28
632,8
728,6
757,17
758,8
768,262
785,6
790,12
801,33
802,12
807,43
808,20
829,25
830,9
879,12
893,54
894,35
895,9
952,24
953,8
954,20
