"m.z","int"
108,22
110,21
111,50
112,12
120,43
126,83
127,27
129,16
132,20
133,10
134,23
135,30
136,229
138,64
139,7
140,9
143,9
146,11
150,39
151,24
152,16
153,1852
154,418
155,17
156,9
160,11
164,34
166,49
168,18
175,527
176,38
178,60
181,6
191,33
192,37
194,20
196,9
197,122
200,13
206,27
208,29
211,76
212,16
213,8
214,8
220,25
222,10
229,9
234,13
236,6
239,6
240,136
241,12
248,11
250,8
254,9
256,9
258,52
262,24
274,9
276,254
277,56
278,47
280,10
282,8
283,9
287,6
291,26
292,8
298,9
304,253
305,24
306,10
307,28
309,9
316,6
318,41
326,549
327,51
332,32
334,26
338,15
342,15
344,9
346,8
348,44
350,8
356,6
360,16
391,26
392,9
406,7
435,8
455,90
456,21
460,14
468,10
477,17
482,13
493,12
499,10
534,8
537,18
582,8
583,75
584,35
585,7
615,19
625,9
628,445
629,95
631,35
632,13
644,24
650,15
696,6
757,215
758,33
762,8
768,6
771,281
779,7
787,7
790,21
791,6
792,11
793,10
801,9
807,19
808,10
820,7
829,11
893,38
894,23
930,19
952,21
953,16
954,58
955,28
956,6
980,10
