"m.z","int"
116,7
117,42
122,6
124,81
129,7
130,21
131,26
132,296
133,19
134,103
136,61
138,87
139,9
140,610
145,49
147,33
148,7
150,9
153,12
154,50
158,24
159,23
162,11
164,12
166,45
167,54
168,31
170,108
171,28
172,26
174,26
176,24
178,55
179,14
180,58
181,15
182,216
185,185
189,18
192,16
193,7
194,125
195,23
196,70
199,252
200,9
202,8
204,13
208,12
209,72
210,17
212,7
214,24
219,15
220,14
223,73
224,29
227,9
230,98
231,28
232,10
233,6
235,10
236,11
238,11
239,8
241,17
245,40
250,6
251,9
254,20
256,6
257,13
259,167
261,11
263,103
266,19
269,12
273,24
277,36
280,6
283,16
287,16
289,34
291,30
292,6
299,12
305,126
306,11
319,156
326,24
327,7
337,11
347,23
349,16
351,14
361,12
365,44
377,6
379,63
393,8
401,17
407,9
411,14
425,12
427,9
439,14
443,15
451,6
452,9
453,19
454,7
457,121
467,25
468,45
481,10
482,34
483,7
485,10
493,17
499,22
514,8
527,8
535,7
537,46
538,7
542,26
553,49
556,21
567,55
568,30
583,13
613,11
615,101
616,31
631,9
659,110
660,43
709,6
733,6
767,36
768,172
787,6
792,16
893,143
894,97
895,21
