"m.z","int"
103,26
117,6
120,15
121,6
125,8
126,14
131,26
135,18
136,63
138,43
139,6
141,23
143,206
146,9
147,7
149,31
150,18
151,29
152,21
153,9
154,44
155,128
156,49
157,10
158,142
159,7
160,9
163,27
164,12
165,99
166,27
168,8
169,9
170,88
172,63
173,28
174,10
175,12
178,46
179,18
180,25
181,6
183,31
186,137
187,17
189,16
190,7
191,28
192,62
193,10
194,7
195,33
197,31
199,15
200,34
201,11
202,24
203,17
205,54
207,7
208,39
209,6
214,81
215,11
217,6
218,6
219,71
221,34
223,44
224,10
225,13
229,6
230,8
231,7
233,6
234,20
235,25
236,8
239,26
240,311
241,79
243,9
245,70
246,95
247,50
249,14
250,18
251,12
254,43
255,12
256,28
257,59
261,16
262,14
263,44
266,17
267,84
273,27
274,6
276,16
277,9
279,63
281,6
282,31
283,125
285,25
295,47
297,14
298,9
299,50
301,54
302,6
303,7
305,17
307,21
317,91
318,15
319,7
321,8
322,13
323,12
325,12
326,44
327,12
329,17
333,19
337,8
339,40
342,6
343,14
345,16
347,46
355,14
361,19
363,12
367,9
383,7
409,11
417,6
418,6
424,6
431,8
432,8
446,17
455,8
460,18
461,23
467,6
468,23
477,7
482,14
483,11
504,14
508,52
509,7
510,15
512,8
519,8
520,48
521,19
530,9
534,18
537,55
538,24
542,7
547,8
548,29
549,40
550,10
556,12
563,8
564,16
565,30
566,6
583,31
584,6
592,7
593,96
594,32
609,8
615,32
616,8
641,8
642,64
643,10
658,8
659,151
660,59
769,6
772,277
893,75
894,42
