"m.z","int"
105,54
106,40
113,45
115,13
116,69
121,12
122,42
124,26
129,106
131,40
132,176
133,88
136,670
138,19
139,28
140,17
142,39
151,14
152,39
153,32
154,79
156,14
158,153
163,13
164,18
165,69
166,82
168,337
169,40
170,47
176,13
178,88
180,16
191,19
192,104
194,28
198,17
204,13
205,15
206,14
208,20
210,86
213,15
218,50
222,206
224,13
248,87
271,75
272,298
273,51
274,22
286,70
290,55
294,72
302,16
304,28
306,72
310,13
312,93
314,78
318,21
326,874
327,214
328,88
330,52
334,19
342,46
344,32
346,99
348,67
350,21
352,100
354,33
360,35
362,27
386,11
398,15
412,23
416,130
424,48
425,28
426,25
427,13
428,15
430,18
436,44
437,18
438,85
439,25
440,126
441,40
442,108
443,16
444,18
450,16
452,135
453,218
454,140
455,53
456,56
462,55
464,15
465,25
466,110
467,149
468,422
469,140
470,66
478,15
480,11
481,24
482,298
483,192
484,116
490,15
496,12
498,11
499,35
500,22
503,26
508,115
509,17
512,12
514,86
515,36
527,48
537,265
538,82
540,15
541,60
542,161
543,22
552,17
556,213
557,38
558,31
560,58
567,359
568,106
572,13
574,62
582,54
583,245
584,90
598,38
600,53
602,13
614,51
615,679
616,203
617,82
618,21
625,19
629,11
642,37
658,50
659,623
660,237
661,23
674,73
675,12
767,214
784,64
785,39
787,31
788,13
792,127
793,53
800,12
808,14
834,17
835,11
882,19
883,11
892,11
893,1208
894,759
895,230
896,62
897,22
958,13
