"m.z","int"
106,29
120,137
122,94
124,57
131,25
132,158
133,12
134,47
136,36
138,571
139,63
140,60
150,540
151,55
152,126
157,141
158,136
161,17
164,38
166,67
168,402
169,32
170,72
175,12
176,19
178,88
180,31
191,18
192,152
194,67
199,12
204,22
206,45
208,84
210,62
217,51
218,46
220,13
222,361
223,22
224,34
238,38
248,83
277,27
330,11
337,11
347,13
352,20
424,19
425,11
438,12
440,14
441,12
442,25
452,44
453,64
454,37
466,32
467,54
468,186
469,54
470,19
482,169
483,86
484,30
498,14
499,12
514,47
527,19
541,25
542,75
556,104
557,22
560,20
572,16
583,25
600,11
602,16
614,14
615,332
616,120
617,55
659,122
660,45
766,11
767,192
893,526
894,301
895,102
896,19
