"m.z","int"
105,79
106,331
107,75
110,86
116,192
120,1510
121,404
122,186
123,65
124,368
125,77
129,153
130,40
131,242
132,756
134,203
135,361
136,752
137,69
138,4175
139,683
140,554
141,235
142,41
146,327
147,32
148,74
149,130
150,1361
151,186
152,788
154,2123
155,554
156,613
157,288
158,67
160,110
161,135
162,63
163,345
164,224
165,274
166,398
167,91
168,707
169,27
170,121
171,36
172,159
173,156
174,122
175,500
176,147
177,68
178,693
179,192
180,467
181,41
185,180
188,143
189,191
190,138
192,300
194,307
195,68
197,32
198,30
199,139
200,359
201,34
202,41
203,39
204,121
205,139
206,62
207,53
208,117
211,148
213,310
214,120
215,97
217,42
218,79
219,68
220,53
222,297
223,161
227,30
228,40
229,29
230,33
232,93
235,75
236,138
239,53
241,72
244,50
245,37
246,33
250,113
251,97
257,55
258,26
260,128
261,69
262,135
266,39
267,65
270,42
271,151
272,240
274,27
278,51
282,145
283,72
286,35
290,46
292,44
294,453
295,94
296,205
299,39
301,35
302,37
306,752
307,50
308,81
310,103
312,247
314,556
315,72
316,30
318,58
324,256
326,1132
327,284
328,76
330,85
331,29
332,238
334,148
338,210
342,32
344,49
346,132
352,239
354,27
360,48
388,40
398,26
423,29
424,57
425,35
426,43
438,58
439,49
440,80
441,63
451,36
452,201
453,218
454,128
455,31
456,31
462,78
465,38
466,153
467,210
468,558
469,231
480,37
482,464
483,213
484,102
493,34
499,27
503,202
506,83
508,1909
509,445
510,324
511,66
512,311
513,60
514,414
515,123
516,26
517,149
527,87
528,42
537,229
538,111
541,109
542,165
543,107
554,257
555,80
556,214
557,89
560,71
565,32
568,300
569,117
570,30
580,43
583,138
584,57
598,143
599,33
600,53
602,54
614,73
615,724
616,434
617,109
618,29
642,32
658,56
659,665
660,299
661,60
674,76
740,123
742,44
762,30
769,63
770,63
790,44
792,193
793,82
794,39
810,68
812,29
838,30
892,34
893,833
894,789
895,413
896,126
