"m.z","int"
107,9
116,8
129,7
131,12
136,11
138,6
143,22
150,47
158,9
165,7
182,7
186,7
200,6
214,25
240,235
241,17
246,6
254,22
256,7
258,7
262,11
276,69
280,59
286,32
291,18
300,12
303,9
304,15
306,26
307,13
310,6
312,44
314,41
316,29
318,70
319,6
326,53
330,29
338,8
340,55
341,6
347,13
350,12
352,135
353,16
354,25
356,16
358,11
372,6
436,7
438,7
452,10
453,16
456,6
462,7
466,10
467,10
468,52
482,41
483,16
488,9
490,8
508,11
510,14
512,33
514,20
537,73
538,22
542,25
553,6
556,19
567,18
568,7
574,16
583,58
584,17
599,9
615,184
616,61
617,6
641,6
642,9
658,31
659,458
660,186
661,23
674,27
675,26
676,9
772,265
871,7
893,411
894,251
895,41
896,17
909,18
910,6
