"m.z","int"
101,1838
102,258
103,971
104,300
105,1241
106,2199
107,2324
108,3260
109,2137
110,5140
111,124
112,3036
113,2346
114,639
115,7638
116,1122
117,1330
118,217
119,1446
120,5181
121,2283
122,32819
123,5731
124,2994
125,401
126,893
127,141
128,699
129,1277
130,1210
131,1001
132,5314
133,646
134,3423
135,1631
136,17631
137,5284
138,7106
139,2954
140,3939
141,11701
142,616
143,865
144,1319
145,1232
146,357
148,349
149,126
150,405646
151,38972
152,8724
153,1156
154,5157
155,1392
156,1733
157,7687
158,6150
159,2034
160,240
161,1996
162,2300
163,3634
164,2116
165,9993
166,5230
167,2709
168,7141
169,531
170,2237
171,716
172,9814
173,7673
174,9220
175,2579
176,1449
177,1206
178,109147
179,16710
180,5831
181,4035
182,9142
183,1085
184,3878
185,1353
186,4645
187,1556
188,1638
189,2204
190,1398
191,736
192,12848
193,3650
194,7348
195,5022
196,7343
197,5289
198,2553
199,1324
200,5100
201,2578
202,1628
203,1343
204,1773
205,1563
206,1609
207,1632
208,9043
209,1673
210,5022
211,1451
212,3515
213,1241
214,4749
215,2806
216,16239
217,3012
218,23595
219,8954
220,2833
221,688
222,8283
223,5864
224,61805
225,8258
226,2958
227,566
228,2774
229,336
230,2510
231,790
232,5111
233,1319
234,9167
235,8393
236,8747
237,2798
238,4660
239,2176
240,6526
241,4953
242,2260
243,707
244,1141
245,3081
246,1134495
247,148552
248,15300
249,1616
250,10087
251,4128
252,9313
253,1605
254,32786
255,6576
256,4155
257,7837
258,3235
259,2461
260,11217
261,3304
262,142924
263,17377
264,24722
265,4039
266,6382
267,3146
268,3558
269,785
270,4817
271,650
272,4899
273,4369
274,9794
275,2338
276,4124
277,1678
278,8842
279,5918
280,18775
281,4020
282,14243
283,6090
284,10142
285,1026
286,2669
288,2461
289,1265
290,4636
291,1182
292,6778
293,2042
294,3482
295,6042
296,2668
297,7118
298,4936
299,2983
300,6026
301,6061
302,65009
303,11219
304,6099
305,2297
306,10959
307,1983
308,4232
309,426
310,28309
311,6092
312,1849
313,6886
314,1418
315,1736
316,866
317,7004
318,5180
319,1642
320,3219
321,649
322,3135
323,1078
324,2303
325,174
326,3220
327,536
328,1015
329,265
330,602
331,327
332,371
333,2467
334,1269
335,363
336,24895
337,6134
338,3554
339,3663
340,1644
341,1409
342,1402
343,303
344,875
345,1049
346,885
347,267
348,200
349,1846
350,354
351,1299
352,8617
353,1871
354,2892
355,2747
356,631
357,1389
358,1709
359,478
360,330
361,1320
362,6644
363,1152
364,625
365,275
366,152
367,562
368,323
370,891
371,340
373,1666
374,1035
375,893
376,194
377,2654
378,1715
379,606
380,840
383,491
385,149
388,371
389,156
390,170
391,330
392,1734
393,931
394,1770
395,737
396,164
397,570
399,1801
400,300
401,367
402,223
404,353
405,582
408,124
409,576
410,161
411,455
412,126
413,124
414,4677
415,974
416,343
417,164
418,438
420,719
421,208
425,126
426,210
427,155
429,303
430,515
431,635
433,857
435,558
436,338
437,264
442,1165
443,277
444,141
446,152
450,151
451,168
455,463
456,121
457,514
458,301
459,266
463,605
467,172
468,38580
469,10458
470,1956
471,150
476,824
484,2170
485,286
486,412
488,194
489,338
491,281
493,256
495,210
501,228
515,198
517,163
524,2441
525,906
527,162
529,122
532,919
533,178
542,505
543,160
544,145
547,181
549,150
558,498
559,203
562,445
573,197
574,328
588,184
590,490
591,122
611,130
616,1089
617,469
618,292
619,146
636,134
657,148
679,357
690,220
731,344
732,143
753,594
754,280
755,123
759,168
770,176
772,857
773,457
774,305
781,352
782,146
792,705
793,246
794,1146
795,515
796,628
797,298
798,1323
799,637
800,2872
801,1561
802,453
820,1059
821,567
822,2346
823,1299
824,1307
825,679
826,1715
827,1025
828,1758
829,1015
830,282
842,131
844,173
846,973
847,489
848,1859
849,1312
850,1346
851,877
852,542
853,277
854,468
855,276
856,254
857,123
864,138
868,443
869,331
870,439
871,251
872,622
873,317
874,1149
875,728
876,1148
877,688
878,385
879,127
894,205
895,153
896,474
897,244
898,316
899,124
900,325
902,218
904,154
922,280
923,178
924,176
