"m.z","int"
103,20
105,45
106,39
108,69
110,19
112,8
113,68
115,29
116,46
117,29
118,26
119,6
120,545
121,86
122,59
124,12
125,71
126,337
127,8
129,43
131,134
132,396
133,27
134,191
135,185
136,508
137,52
138,813
139,80
140,88
141,426
142,31
143,524
145,15
146,143
147,7
148,71
149,78
150,615
151,199
152,224
153,35
154,583
155,267
156,219
157,143
158,552
159,148
160,117
161,22
162,57
163,96
164,172
165,424
166,371
167,66
168,252
169,25
170,115
171,184
172,285
173,290
174,65
175,229
176,127
177,26
178,523
179,38
180,205
181,232
182,48
183,43
184,101
185,82
186,436
187,94
188,44
189,303
190,118
191,49
192,587
193,153
194,265
195,19
196,35
197,172
198,33
199,40
200,160
201,33
202,101
203,163
204,215
205,370
206,148
207,36
208,265
209,17
210,45
211,7
212,42
213,36
214,412
215,68
216,85
217,72
218,155
219,323
220,195
221,435
222,242
223,58
224,27
225,9
226,77
227,40
228,44
229,36
230,136
231,74
232,170
233,116
234,158
235,109
236,182
237,129
238,73
239,12
240,3217
241,403
242,56
243,139
244,32
245,46
246,379
247,128
248,134
249,185
250,122
251,16
252,38
253,34
254,174
255,74
256,1017
257,195
258,283
259,128
260,50
261,25
262,179
263,126
264,67
265,87
266,19
267,55
269,9
270,78
271,44
272,69
273,27
274,78
275,46
276,1051
277,252
278,214
279,140
280,52
281,70
282,114
283,49
285,27
286,101
287,15
288,12
289,7
290,70
291,218
292,74
293,52
294,21
295,48
297,32
298,30
299,56
300,37
301,22
302,15
303,61
304,170
305,29
306,217
307,128
308,21
309,34
310,80
311,17
312,59
313,25
314,57
315,39
317,22
318,243
319,30
320,15
321,14
322,21
323,38
324,13
325,19
326,177
327,23
328,7
329,22
330,50
331,18
332,26
333,11
334,63
335,9
337,18
338,69
339,29
341,20
342,11
343,32
345,16
346,26
347,23
348,170
350,7
352,13
353,6
357,21
359,19
360,85
361,24
363,23
364,34
366,23
367,6
368,16
369,6
373,16
374,11
375,9
376,9
379,18
380,7
381,22
382,13
385,12
387,8
394,7
395,6
399,9
400,11
401,23
408,6
410,8
411,7
417,15
422,7
423,6
424,7
427,6
430,6
433,8
437,6
438,11
439,7
440,20
445,7
447,8
451,10
452,36
453,47
454,31
456,37
457,6
466,31
467,33
468,153
469,10
482,86
483,55
484,11
492,6
498,6
508,52
510,6
512,11
514,8
522,14
527,11
528,9
537,44
541,19
542,53
556,45
557,9
560,8
562,56
567,73
568,21
583,48
584,10
590,27
608,39
612,8
614,10
615,201
616,42
617,11
625,22
630,15
636,10
658,6
659,140
660,52
668,7
674,10
676,7
724,7
731,7
742,20
744,24
746,24
767,6
770,240
772,6
784,13
787,26
788,9
790,10
792,487
793,228
794,98
795,18
796,10
805,15
808,29
809,12
810,18
816,18
826,11
827,20
828,6
838,54
839,15
852,22
853,9
854,13
870,10
882,17
883,10
893,236
894,166
895,23
958,111
959,40
960,7
