"m.z","int"
103,8
105,6
106,7
108,15
112,15
116,54
120,78
121,32
122,6
126,52
129,43
130,6
131,206
132,56
134,25
135,17
136,8
137,38
138,96
140,9
142,17
143,47
145,14
146,10
147,7
148,21
149,13
150,109
151,6
152,27
153,17
154,85
155,38
156,7
157,21
158,36
159,6
160,9
164,7
165,57
166,112
168,14
169,7
170,14
171,12
172,29
173,20
175,45
176,6
178,39
179,6
180,17
182,9
183,8
184,6
185,277
186,36
189,6
190,8
191,10
192,101
194,19
196,7
198,10
200,87
207,11
208,10
212,6
214,110
216,8
218,19
219,10
220,28
222,15
225,27
229,9
232,50
234,37
236,23
240,678
241,62
242,6
246,59
248,12
250,18
254,35
256,23
258,127
259,16
260,24
262,13
263,8
272,19
274,51
275,7
276,564
277,89
278,57
279,16
280,17
282,28
286,40
291,132
292,22
294,7
304,67
306,92
307,60
308,18
310,23
312,25
318,68
323,7
324,6
326,26
328,6
334,6
338,10
348,31
360,42
424,12
425,9
427,8
430,15
437,6
438,19
439,9
440,18
442,11
452,38
453,60
454,40
455,8
456,23
461,24
462,48
463,35
465,10
466,33
467,55
468,160
469,43
470,10
478,8
480,8
481,9
482,107
483,64
484,55
498,9
508,12
514,23
515,8
522,17
525,19
527,28
536,9
537,223
538,89
539,15
540,10
541,37
542,65
543,10
550,6
553,22
556,73
557,15
560,18
561,6
562,27
569,14
570,8
582,11
583,185
584,45
590,16
599,11
600,6
601,13
608,38
609,18
611,6
614,12
615,250
616,71
617,37
618,6
625,8
641,14
642,9
657,14
658,39
659,582
660,233
661,23
675,17
684,6
731,10
733,71
734,13
740,31
742,24
745,7
746,8
753,16
755,42
756,10
770,18
771,219
779,22
787,28
788,10
792,234
793,98
794,52
795,8
801,60
802,19
810,9
823,25
827,63
828,29
831,9
834,6
849,34
850,10
852,13
853,27
854,13
875,18
893,477
894,310
895,56
896,10
909,10
910,10
