"m.z","int"
101,9
103,33
104,16
105,743
106,402
107,60
108,31
111,763
112,76
113,753
114,82
115,184
116,26
117,19
119,12
121,26
122,851
123,130
124,1905
125,165
126,174
127,6
129,33
130,154
131,21
132,129
133,8
134,60
136,1506
137,267
138,339
139,424
140,484
141,76
142,42
143,9
144,15
146,17
147,6
148,30
150,73
151,90
152,570
153,65
154,458
155,72
156,179
157,14
158,1548
159,72
160,25
161,36
162,94
163,23
164,158
165,248
166,658
167,57
168,2182
169,260
170,370
171,7
172,107
173,6
174,148
175,6
176,91
177,12
178,632
179,49
180,450
181,97
182,117
183,8
184,72
186,186
187,12
188,21
189,6
190,40
191,13
192,147
193,158
194,484
195,82
196,119
197,151
198,74
199,85
200,95
201,97
202,33
203,6
204,62
206,81
207,21
208,416
209,42
210,142
211,9
212,66
213,33
214,116
215,16
216,60
218,309
219,24
220,65
221,16
222,437
223,137
224,88
225,46
226,43
227,12
228,44
229,29
231,17
232,24
233,6
234,141
235,21
236,267
237,56
238,57
239,40
240,116
242,20
244,29
246,62
247,17
248,54
249,14
250,223
251,76
252,37
253,33
254,519
255,129
256,20
257,76
258,6
259,54
260,22
261,17
262,33
264,104
265,13
266,38
270,16
271,16
272,14
273,20
274,104
275,10
276,24
277,21
278,72
279,21
280,81
281,35
282,35
283,24
284,6
287,20
289,23
290,43
291,42
292,47
293,38
294,33
295,35
296,7
297,21
300,16
302,6
303,162
304,14
306,123
307,8
308,25
309,18
310,212
311,35
313,34
314,68
315,44
317,54
318,44
319,24
320,6
326,123
327,10
329,6
331,23
332,16
333,7
334,6
337,6
338,7
339,14
341,17
343,7
346,6
347,11
349,20
351,37
353,24
355,11
362,30
363,6
366,15
371,21
373,34
375,32
377,15
378,7
379,9
389,17
391,10
394,6
397,7
399,10
401,6
405,8
407,6
409,20
411,12
413,8
414,14
415,6
425,7
426,8
427,9
431,9
433,17
435,10
437,6
451,6
457,13
463,7
465,6
467,6
469,6
489,10
491,14
495,9
508,11
523,6
527,7
553,6
562,10
565,18
590,7
591,6
615,9
690,8
700,11
724,7
767,218
792,59
793,20
801,10
835,6
923,13
933,46
