"m.z","int"
103,14
105,19
106,18
113,16
116,126
118,41
120,418
121,52
122,44
126,42
129,74
130,31
131,126
132,336
134,181
135,152
136,588
137,39
138,565
139,39
140,54
141,12
142,47
143,179
144,22
146,99
147,16
148,32
149,57
150,396
151,244
152,109
154,627
155,123
156,212
157,29
158,78
160,84
161,15
162,22
163,17
164,165
165,1947
166,177
167,82
168,83
169,24
170,85
171,33
172,66
173,27
174,50
175,394
176,96
177,14
178,614
179,11
180,55
181,376
182,12
183,29
184,24
185,54
186,50
187,46
190,53
191,17
192,241
193,15
194,69
196,14
197,48
198,31
199,105
200,85
202,15
204,42
205,94
206,120
207,11
208,159
210,11
212,16
214,77
216,28
217,15
218,54
219,21
220,144
221,13
222,72
223,167
224,15
225,28
228,28
229,14
230,25
232,53
234,61
236,44
239,38
240,1152
241,139
243,15
244,83
246,75
247,15
248,52
249,12
250,38
254,71
256,131
258,123
260,26
262,38
263,25
268,11
271,75
272,92
274,14
275,12
276,557
277,50
278,90
279,31
281,11
282,21
286,149
290,17
291,76
294,13
296,12
298,45
302,37
303,28
304,56
306,327
307,84
310,67
312,116
314,82
316,13
318,137
323,20
324,26
326,462
327,103
328,16
330,65
332,15
334,36
335,11
338,29
343,13
346,13
348,90
360,135
379,11
382,15
402,19
406,13
412,18
414,11
423,28
424,90
425,77
426,79
427,14
428,11
430,48
436,26
437,27
438,112
439,82
440,157
441,43
442,25
443,18
450,47
451,69
452,197
453,289
454,215
455,56
456,78
457,12
458,14
461,13
462,125
463,35
464,45
465,40
466,156
467,185
468,629
469,190
470,91
476,18
478,40
480,47
481,37
482,465
483,283
484,160
485,27
486,12
490,24
496,14
498,47
499,35
500,23
503,17
508,386
509,36
510,24
512,34
514,107
515,45
522,88
523,14
526,25
527,98
537,342
538,128
540,23
541,85
542,243
543,45
544,26
548,25
550,14
553,12
556,258
557,61
558,16
560,54
562,65
567,41
570,22
572,33
582,38
583,177
584,68
590,26
596,47
598,15
599,19
600,47
608,57
614,77
615,850
616,301
617,114
618,33
625,33
630,13
641,19
642,27
658,82
659,983
660,395
661,40
682,20
724,13
742,59
744,44
770,12
772,241
784,39
787,70
788,14
790,24
792,894
793,386
794,125
795,15
796,62
797,13
798,59
808,23
810,32
811,11
814,13
852,27
853,14
858,17
892,15
893,1187
894,763
895,179
896,56
909,11
934,11
958,67
959,14
