"m.z","int"
105,7
106,9
113,17
116,20
120,77
121,8
122,30
124,14
129,23
131,46
132,91
133,10
134,8
137,15
138,10
139,17
140,30
142,7
143,104
149,20
151,29
152,65
154,38
156,6
157,6
159,11
165,280
166,25
167,19
169,16
170,27
174,16
175,43
176,18
178,14
181,112
185,6
187,7
188,18
190,8
191,8
192,31
193,20
194,15
197,24
199,18
205,6
208,7
209,13
210,20
215,7
222,130
223,22
224,10
239,8
240,6
248,27
258,6
260,11
262,14
271,6
277,9
286,6
293,6
306,26
314,7
326,106
327,13
330,13
346,9
354,8
360,9
410,8
436,9
438,7
440,6
452,9
453,12
454,11
467,10
468,49
469,7
482,39
483,16
484,8
503,7
508,37
510,28
511,10
514,6
522,7
527,7
537,54
538,21
542,18
556,13
557,7
562,6
567,30
568,7
582,7
583,17
584,6
600,8
615,100
616,20
658,6
659,112
660,26
767,228
784,7
792,24
794,12
795,7
884,6
893,167
894,97
895,18
