"m.z","int"
103,64
105,30
108,24
116,22
117,10
119,8
120,30
121,22
125,8
126,89
129,13
131,113
132,6
135,20
138,60
139,20
140,6
143,163
146,6
149,53
150,11
153,6
154,56
155,91
156,14
158,30
159,13
164,6
165,42
167,34
170,30
171,9
172,7
173,53
175,26
178,8
180,10
181,6
182,95
183,56
184,19
185,14
186,6
189,25
191,81
192,69
195,13
196,7
198,17
199,8
200,128
204,9
205,18
206,28
207,8
208,42
209,11
214,18
215,20
216,44
217,7
218,7
223,96
229,9
231,14
234,6
235,8
236,25
238,13
240,19
245,17
247,17
250,8
253,7
255,6
256,6
258,6
259,8
261,7
262,8
271,13
272,15
275,11
277,10
280,13
288,10
289,26
290,10
297,7
302,6
306,33
307,8
312,9
314,12
318,6
319,14
322,10
326,89
327,14
329,9
332,12
347,21
360,7
363,7
377,6
378,11
412,6
424,22
425,7
426,13
427,9
430,13
436,6
438,22
439,17
440,21
441,22
442,24
452,44
453,91
454,49
456,13
457,36
458,6
461,7
462,32
466,38
467,81
468,205
469,44
470,21
478,10
480,7
481,7
482,161
483,106
484,51
485,13
490,17
493,6
498,22
499,17
500,7
506,6
508,11
514,27
515,17
527,42
536,6
537,134
538,34
540,10
541,29
542,87
543,22
553,34
556,98
557,13
560,9
567,6
570,9
572,20
582,24
583,152
584,29
599,9
600,12
608,9
614,9
615,409
616,116
617,56
630,16
631,7
642,13
658,33
659,617
660,227
661,31
674,6
675,10
682,11
768,6
771,270
792,57
793,24
892,7
893,645
894,438
895,136
896,15
909,39
910,26
925,6
