"m.z","int"
103,12
105,247
113,7
116,6
117,8
118,6
119,35
121,39
122,27
124,15
125,11
126,29
132,39
133,332
134,20
136,8
138,133
139,25
140,417
141,9
143,8
150,34
152,154
154,52
155,13
157,381
159,30
160,7
165,40
166,29
167,17
168,29
169,7
170,101
171,27
172,12
174,21
175,256
178,15
179,32
180,29
181,19
182,37
185,44
186,16
187,16
189,13
192,13
194,55
195,9
196,39
198,9
199,65
207,6
209,9
210,8
216,11
217,191
219,6
220,7
222,6
223,7
230,23
231,10
233,33
235,128
247,7
249,8
257,37
259,31
261,7
263,22
264,7
265,8
275,21
276,20
277,263
280,38
284,7
289,13
291,13
292,8
299,19
305,17
306,8
315,6
317,9
319,29
324,7
335,7
337,152
338,6
340,9
347,6
349,14
351,6
366,8
377,12
379,7
395,7
415,91
427,6
453,6
457,19
468,16
482,7
493,13
514,7
553,24
583,27
584,6
613,9
615,22
659,71
660,8
767,256
792,10
893,37
894,20
