"m.z","int"
105,58
116,31
120,26
122,8
129,40
132,34
133,111
134,6
139,6
142,18
152,6
153,12
154,28
166,15
170,17
198,7
212,13
222,15
232,12
286,6
306,21
318,8
326,8
360,14
412,9
424,19
425,15
426,11
430,16
438,28
439,15
440,45
441,16
442,16
451,9
452,47
453,102
454,61
455,6
456,13
462,56
463,15
465,10
466,34
467,74
468,211
469,50
470,18
477,6
478,6
481,7
482,163
483,102
484,60
490,10
498,12
499,10
500,8
512,8
514,33
515,10
526,6
527,40
528,7
536,7
537,255
538,106
539,11
540,8
541,34
542,103
543,13
553,8
556,93
557,21
558,6
560,23
566,8
567,358
568,141
569,21
570,6
572,6
582,22
583,228
584,93
599,13
600,15
614,16
615,405
616,110
617,51
618,7
641,12
642,16
658,27
659,729
660,274
661,41
675,9
767,169
773,14
774,6
787,16
792,66
793,21
810,6
847,9
848,7
871,12
882,10
892,7
893,788
894,523
895,103
896,43
909,8
910,6
958,14
