"m.z","int"
105,98
106,9
107,6
108,12
113,9
115,13
120,7
122,79
125,63
126,77
131,17
132,40
133,140
134,26
137,12
138,94
139,12
140,262
144,9
146,16
150,123
152,115
154,222
155,6
156,47
157,138
160,7
163,12
165,7
166,47
168,18
169,12
170,69
175,82
176,16
178,31
179,9
180,20
182,10
185,10
189,7
190,15
192,25
194,91
196,18
199,14
200,10
204,32
208,29
217,49
218,27
222,7
224,25
232,48
234,6
235,32
236,7
244,6
259,12
275,10
277,75
280,112
281,6
282,6
286,12
290,16
306,49
308,10
314,6
319,9
326,67
328,6
330,10
337,42
338,31
360,11
415,26
452,14
453,16
466,8
467,7
468,60
469,15
482,47
483,9
484,8
508,9
514,8
527,7
537,11
542,7
553,7
556,21
567,34
583,39
584,13
615,88
616,19
617,7
659,29
660,25
740,31
768,258
787,6
792,32
893,59
894,50
