"m.z","int"
101,32
102,13
103,7
104,16
105,29
106,287
107,13
108,47
109,7
110,37
111,734
112,71
113,150
115,61
116,22
118,9
119,8
120,41
121,59
122,421
123,29
124,1135
125,118
126,237
127,6
129,19
130,27
131,49
132,81
133,6
134,76
135,6
136,439
137,42
138,112
139,282
140,296
141,8
142,17
143,27
144,29
145,9
146,72
147,13
148,46
149,23
150,30
151,37
152,250
153,29
154,544
155,77
156,214
157,20
158,207
159,44
160,53
161,23
162,52
163,79
164,95
165,55
166,136
167,19
168,953
169,139
170,198
172,37
173,7
174,55
175,6
176,65
177,9
178,239
179,30
180,126
181,10
182,23
183,7
184,23
186,33
187,9
188,28
189,9
190,36
191,7
192,65
193,15
194,101
195,6
196,26
197,15
198,29
199,23
200,42
202,9
204,25
206,35
208,96
209,8
210,25
211,26
212,23
213,6
214,8
216,16
217,6
218,45
220,24
221,7
222,89
223,6
224,27
226,7
228,11
229,9
232,48
234,8
236,35
238,7
240,6
242,9
248,16
250,15
254,35
257,6
258,16
264,6
271,36
274,9
280,61
281,7
284,6
300,9
303,13
306,15
310,10
318,11
326,16
330,18
334,7
338,8
346,6
412,9
424,34
425,23
426,27
427,10
428,9
436,12
437,10
438,29
439,27
440,35
441,23
442,9
451,25
452,76
453,78
454,63
455,20
456,35
462,8
464,6
465,18
466,38
467,75
468,190
469,43
470,27
480,10
481,10
482,142
483,84
484,48
485,6
496,7
498,19
499,15
500,8
512,6
514,38
527,16
537,21
540,7
541,22
542,54
543,11
554,6
556,75
557,16
560,15
567,71
568,34
572,17
582,8
583,18
600,18
614,11
615,248
616,87
617,19
632,9
659,75
660,31
764,6
767,213
810,9
832,13
893,188
894,104
895,22
