"m.z","int"
103,11
104,16
105,88
106,78
111,191
112,11
113,37
115,8
121,33
122,198
124,479
125,34
126,42
128,7
129,8
130,10
131,8
132,21
133,28
134,14
136,1311
137,21
138,22
139,130
140,126
141,32
143,13
146,14
147,28
149,57
151,17
152,96
153,6
154,80
156,7
158,150
159,6
160,6
161,39
162,21
163,34
164,26
165,152
166,54
168,612
169,49
170,76
174,35
175,32
176,12
178,64
179,18
180,32
181,13
185,6
186,24
187,6
192,28
193,83
194,15
195,11
196,6
200,25
205,11
207,15
208,19
209,9
218,30
222,30
223,12
234,6
244,8
246,8
248,19
251,13
255,6
271,29
302,8
304,7
308,11
326,12
330,19
424,9
426,6
438,7
440,8
452,27
453,37
466,16
467,17
468,105
469,22
482,75
483,23
514,6
537,22
538,7
541,7
542,17
548,8
552,6
556,36
560,7
583,29
615,174
616,53
617,9
659,95
660,19
766,199
792,11
893,187
894,93
895,21
