"m.z","int"
103,19
104,31
105,51
106,98
107,26
108,47
109,23
110,63
111,27
112,63
113,117
115,55
116,421
117,22
118,432
119,44
120,728
121,200
122,341
124,20
125,12
126,109
129,242
130,59
131,308
132,321
133,13
134,1971
135,400
136,6174
137,759
138,1379
139,52
140,72
141,44
142,162
143,413
144,53
145,71
146,222
147,102
148,164
149,359
150,581
151,3228
152,714
153,427
154,817
155,205
156,359
157,99
158,454
159,38
160,274
161,108
162,197
163,132
164,1805
165,1490
166,627
167,460
168,138
169,188
170,244
171,36
172,332
173,34
174,276
175,133
176,1257
177,259
178,3847
179,475
180,762
181,302
182,56
183,108
184,60
185,184
186,388
187,86
188,116
189,14
190,481
191,125
192,905
193,309
194,3334
195,507
196,442
197,188
198,230
199,180
200,340
201,25
202,121
203,8
204,226
205,166
206,1015
207,161
208,983
209,1275
210,421
211,189
212,249
213,82
214,366
215,62
216,183
217,37
218,284
219,41
220,506
221,57
222,681
223,170
224,94
225,261
226,73
228,64
229,67
230,83
231,29
232,281
234,468
235,52
236,1475
237,211
238,289
239,38
240,5766
241,584
242,102
243,15
244,349
245,74
246,555
247,51
248,242
249,36
250,370
251,243
252,671
253,81
254,496
255,63
256,786
257,83
258,287
259,12
260,248
262,707
263,86
264,220
265,59
266,520
267,108
268,98
269,6
270,69
271,386
272,56
273,6
274,131
276,1016
277,182
278,338
279,30
280,245
281,47
282,62
283,29
284,25
286,259
287,113
288,34
289,18
290,156
291,322
292,182
293,24
294,206
295,70
296,9
297,9
298,241
299,22
300,95
302,211
303,97
304,187
305,68
306,289
307,72
308,272
309,13
310,313
311,17
312,204
313,21
314,181
315,6
316,393
317,34
318,397
319,44
320,84
321,8
322,89
324,55
325,6
326,307
327,40
328,31
329,13
330,475
331,20
332,108
334,565
335,44
336,40
338,118
340,16
342,45
344,16
346,246
347,7
348,143
349,402
350,88
351,11
352,54
353,9
354,21
357,6
358,10
360,290
361,40
362,96
363,7
364,29
365,33
366,7
372,33
374,58
376,138
378,87
379,6
382,19
386,16
387,7
388,91
390,7
391,6
392,151
393,17
396,21
400,11
402,159
403,16
404,26
406,154
407,7
408,20
410,18
411,22
412,28
413,20
414,13
415,6
418,9
419,6
422,9
423,31
424,112
425,76
426,81
427,30
428,41
430,41
433,9
434,6
436,24
437,47
438,104
439,91
440,162
441,46
442,79
443,18
448,6
450,30
451,49
452,173
453,240
454,195
455,66
456,181
457,18
462,77
463,17
464,26
465,23
466,134
467,203
468,622
469,216
470,113
471,15
472,8
476,8
477,9
478,58
480,17
481,24
482,411
483,251
484,143
485,35
486,14
489,7
490,14
492,9
496,20
498,34
499,37
500,31
501,8
503,11
505,18
508,347
509,53
510,300
511,34
512,77
514,113
515,23
516,8
518,8
522,215
523,42
524,45
525,15
526,18
527,84
528,19
536,35
537,167
538,57
540,21
541,72
542,183
543,41
544,37
546,7
547,14
548,218
549,67
550,283
551,83
552,46
555,6
556,210
557,51
558,9
560,33
562,102
563,6
564,14
565,7
566,15
567,410
568,138
569,13
570,39
572,22
574,9
582,12
583,34
584,7
585,13
588,6
590,28
592,14
594,12
596,15
599,10
600,36
604,10
608,26
609,8
610,14
612,10
614,53
615,759
616,259
617,114
618,10
625,9
630,7
632,6
638,12
641,7
642,26
658,28
659,387
660,151
661,10
664,15
666,14
674,65
675,6
682,6
684,20
740,76
741,20
742,78
743,11
744,44
768,20
769,6
773,285
775,10
779,11
784,8
787,15
792,550
793,260
794,311
795,151
796,28
798,13
800,18
801,15
804,6
808,8
810,72
811,21
812,28
820,30
821,12
824,7
825,6
826,32
827,20
828,15
832,97
833,31
836,8
837,6
838,51
839,9
840,6
844,6
848,7
849,6
852,17
853,17
854,10
868,36
869,12
870,16
871,6
874,6
875,23
892,14
893,831
894,587
895,125
896,48
909,6
910,10
958,278
959,157
960,17
