"m.z","int"
105,24
106,15
107,17
109,12
110,22
113,11
115,8
116,15
120,114
121,31
122,64
123,10
124,21
125,15
129,17
130,37
131,49
132,126
133,42
134,46
136,11
137,17
138,21
139,67
140,56
141,96
142,10
143,59
145,11
146,12
149,20
151,34
152,44
153,10
154,68
155,9
156,8
157,103
158,24
159,6
161,8
162,19
163,27
164,19
165,122
166,29
167,102
168,20
169,24
170,19
172,11
173,68
174,41
175,45
176,19
177,48
178,29
179,46
180,17
181,35
185,39
186,14
187,7
188,375
189,55
190,6
191,10
192,57
193,27
194,44
195,23
197,8
199,8
200,7
201,12
202,9
203,15
204,57
205,20
206,9
207,11
208,23
209,8
210,48
211,32
212,22
213,10
214,10
215,10
217,7
219,37
220,11
222,170
223,49
224,22
227,11
228,8
229,12
230,27
231,16
233,6
234,6
235,54
236,6
238,18
241,14
242,11
244,10
245,20
247,10
248,31
250,6
251,25
252,10
253,11
254,8
256,6
257,23
260,7
261,20
262,86
263,49
266,6
267,7
269,23
271,28
277,6
279,43
282,6
283,7
284,10
286,10
290,12
295,18
299,12
300,7
302,16
305,7
306,33
309,7
312,9
314,10
317,14
319,6
323,6
326,76
330,30
346,14
347,10
360,24
378,7
388,9
406,14
438,7
439,6
440,11
442,6
452,19
453,28
454,16
462,15
466,16
467,22
468,77
469,21
482,62
483,34
484,8
502,8
508,7
510,7
514,9
516,7
517,37
518,38
519,14
527,8
537,38
538,10
541,28
542,18
556,29
567,88
568,27
569,9
582,8
583,102
584,32
591,11
598,6
614,7
615,129
616,33
617,7
658,7
659,209
660,60
767,213
787,19
789,16
792,77
793,26
794,40
795,16
813,7
832,10
882,14
893,227
894,159
895,33
958,41
959,20
960,9
