"m.z","int"
103,146
105,88
106,26
108,199
110,14
112,19
116,126
117,116
118,19
120,314
121,79
124,56
126,1019
127,16
129,113
130,41
131,273
132,181
133,15
134,60
135,435
136,117
137,22
138,377
139,65
140,34
142,61
143,240
144,35
145,12
146,135
148,20
149,225
150,406
151,151
152,79
153,11
154,672
155,236
156,166
157,42
158,119
160,57
162,46
163,19
164,116
165,101
166,320
167,170
168,195
169,23
170,106
171,14
172,53
173,76
174,23
175,72
176,43
178,231
179,52
180,114
181,30
182,266
183,155
184,265
185,58
186,66
189,66
190,15
191,165
192,208
194,106
195,34
196,52
197,12
198,83
199,46
200,421
202,19
204,11
205,23
206,99
207,78
208,112
209,117
210,76
212,26
213,23
214,127
215,69
216,95
217,21
218,77
220,43
221,14
222,39
223,148
224,55
225,19
228,33
229,24
231,42
232,62
233,11
234,76
235,29
236,59
238,82
239,11
240,1027
241,98
242,14
243,29
245,68
246,33
247,51
248,74
250,47
252,28
254,80
256,72
257,21
258,165
259,13
262,38
263,50
264,13
266,27
271,35
272,84
274,77
275,14
276,848
277,138
278,86
280,175
281,11
282,21
286,100
288,33
289,122
290,65
291,166
292,229
293,31
294,15
298,25
303,26
304,81
305,12
306,343
307,675
308,133
310,24
311,12
312,30
313,28
314,31
316,16
318,170
320,57
321,30
322,14
324,90
325,12
326,449
327,83
328,50
329,19
330,15
334,69
336,17
338,180
342,24
345,13
346,32
347,82
348,72
349,13
353,12
354,21
360,131
361,26
363,17
364,54
369,46
378,36
381,15
402,19
403,12
412,14
414,13
422,11
424,64
425,60
426,52
427,18
428,21
430,45
431,16
436,20
437,25
438,82
439,59
440,108
441,30
442,35
450,32
451,31
452,172
453,202
454,158
455,13
456,85
457,14
461,26
462,84
463,34
465,16
466,115
467,177
468,545
469,177
470,65
471,11
480,13
481,17
482,353
483,254
484,128
490,29
498,43
499,35
500,21
503,41
505,15
508,664
509,113
510,180
511,16
512,34
514,85
515,58
516,14
522,22
526,29
527,89
528,18
537,390
538,166
540,20
541,84
542,182
543,56
544,11
554,35
556,228
557,38
558,13
560,48
562,39
565,14
566,11
567,452
568,205
569,22
570,25
582,43
583,192
584,51
587,13
590,24
596,18
598,11
599,18
600,41
601,11
608,95
609,16
614,55
615,764
616,265
617,114
618,15
625,25
630,25
641,23
642,40
658,58
659,1113
660,471
661,60
674,26
675,12
682,15
770,14
772,21
773,255
784,18
787,66
788,16
790,23
792,751
793,353
794,187
795,61
808,15
810,24
811,13
812,33
831,11
832,18
838,15
852,35
853,12
854,12
882,20
893,1260
894,809
895,200
896,51
958,59
959,14
