"m.z","int"
103,8
104,45
106,156
107,6
108,9
110,9
111,11
113,72
115,61
116,76
119,7
120,750
121,97
122,425
123,30
124,221
125,14
126,22
129,89
130,42
131,72
132,659
133,48
134,154
135,37
136,151
137,41
138,216
139,298
140,360
141,67
142,29
143,17
144,7
145,19
146,66
147,47
148,39
149,8
150,47
151,205
152,494
153,58
154,689
155,136
156,220
157,101
158,27
159,56
160,66
161,16
162,59
163,67
164,156
165,180
166,258
167,36
168,77
169,106
170,221
171,14
172,49
174,214
175,52
176,127
177,14
178,366
179,36
180,187
181,83
182,28
184,81
186,172
187,6
188,1156
189,113
190,99
191,17
192,309
193,51
194,308
195,46
196,68
197,56
198,88
199,15
200,137
201,9
202,69
204,134
205,9
206,155
207,9
208,253
209,48
210,224
211,51
212,94
213,56
214,98
216,36
217,24
218,166
220,202
221,13
222,471
223,105
224,190
225,10
226,74
227,14
228,60
229,24
230,36
231,9
232,120
233,26
234,77
235,11
236,76
237,91
238,161
240,149
241,6
242,44
244,75
245,7
246,40
247,80
248,125
250,140
251,44
252,133
253,38
254,38
255,111
256,84
257,37
258,47
259,19
260,37
262,217
263,19
264,21
265,19
266,50
268,30
270,24
271,26
272,417
273,67
274,93
275,27
276,84
277,12
278,79
280,137
281,29
282,113
283,8
286,31
288,25
290,296
291,33
292,21
293,27
294,116
295,20
296,54
297,15
298,167
299,26
300,184
302,12
304,158
305,10
306,420
307,43
308,57
310,37
312,35
313,14
314,201
315,24
316,16
317,16
320,6
322,11
324,14
326,427
327,80
328,88
329,7
330,51
331,6
332,48
334,210
335,36
336,33
338,84
339,7
342,13
344,26
345,7
346,67
347,12
348,22
349,26
350,87
351,34
352,143
353,38
354,339
355,51
356,8
360,32
362,75
363,16
364,6
365,6
366,66
368,38
369,8
370,13
371,8
372,54
373,11
374,42
375,31
377,9
378,23
380,19
382,20
384,43
386,47
387,7
388,38
390,72
394,27
395,17
396,7
397,7
398,14
399,6
400,83
401,8
409,13
410,44
411,14
412,26
414,75
415,9
416,57
424,18
425,6
426,14
431,8
433,15
436,6
438,16
440,39
442,93
443,8
444,116
445,15
446,8
452,25
453,46
454,29
456,7
458,9
460,7
462,8
466,17
467,36
468,147
469,25
470,9
482,97
483,28
484,9
490,10
491,6
493,7
508,19
512,9
514,19
527,21
528,13
534,6
537,11
541,10
542,27
544,9
551,6
556,47
557,6
560,7
567,29
568,7
570,6
582,6
583,56
584,9
588,6
590,9
597,10
600,6
602,7
615,170
616,56
617,13
622,12
642,6
658,9
659,145
660,44
674,60
675,12
682,26
683,9
684,6
698,13
735,6
740,6
742,6
744,7
759,16
760,6
764,169
765,69
766,21
767,217
780,54
781,25
784,7
792,27
793,16
801,9
808,8
810,18
817,7
824,25
826,6
832,20
833,11
848,8
849,20
850,9
854,23
855,13
864,8
865,16
866,11
874,7
888,6
890,6
893,215
894,136
895,23
896,12
903,21
911,12
919,12
935,31
958,23
959,10
979,6
990,7
