"m.z","int"
105,35
107,9
108,7
113,62
115,30
119,8
121,11
122,203
123,12
124,28
125,76
126,51
131,19
132,34
134,16
137,14
138,39
139,31
140,141
141,6
144,8
146,19
147,8
149,20
150,226
151,6
152,112
154,218
156,46
160,8
161,17
162,7
163,24
165,88
166,50
168,15
169,61
170,102
172,14
174,7
176,12
177,7
178,51
180,43
181,7
185,10
186,9
190,15
192,42
193,7
194,90
195,9
198,8
199,22
200,20
204,20
205,6
206,15
208,44
209,9
210,13
212,11
217,6
218,67
220,25
222,14
223,16
224,23
226,7
232,24
234,40
236,7
237,7
240,11
244,21
246,10
248,7
255,11
256,7
258,7
260,6
262,6
264,11
271,41
274,41
278,6
280,79
290,13
302,20
306,6
308,40
311,8
326,18
330,19
338,27
342,6
360,9
362,14
380,8
424,8
438,9
440,6
442,8
452,17
453,36
454,10
456,11
466,9
467,25
468,83
469,15
470,6
482,58
483,33
484,10
510,6
537,10
542,21
556,23
567,12
615,80
616,28
659,28
660,15
742,47
743,6
744,6
765,6
768,231
794,16
893,46
894,46
895,8
