"m.z","int"
103,10
104,35
106,182
107,11
108,27
110,30
111,22
113,45
115,35
116,68
120,1005
121,152
122,373
123,35
124,293
125,13
126,43
129,80
130,43
131,69
132,683
133,32
134,220
135,46
136,179
137,36
138,276
139,388
140,504
141,20
142,28
143,18
145,7
146,114
147,30
148,62
149,18
150,102
151,214
152,641
153,49
154,948
155,183
156,288
157,63
159,36
160,110
161,29
162,85
163,93
164,244
165,244
166,260
167,58
168,90
169,100
170,246
171,13
172,59
174,256
175,70
176,169
177,15
178,443
179,38
180,236
181,110
182,24
184,94
186,179
188,1168
189,86
190,108
191,30
192,322
193,48
194,311
195,50
196,44
197,47
198,88
199,18
200,129
202,110
204,76
205,8
206,169
207,11
208,205
209,34
210,161
211,44
212,104
213,71
214,124
215,11
216,45
218,185
219,6
220,208
222,382
223,81
224,199
225,10
226,51
227,10
228,110
229,22
230,49
231,7
232,148
233,11
234,106
235,9
236,106
237,52
238,111
240,246
241,19
242,31
244,108
246,37
247,97
248,105
250,116
251,40
252,88
253,30
254,9
255,108
256,69
257,70
258,48
259,21
260,55
262,102
264,24
265,16
266,33
268,32
270,44
271,17
272,384
273,60
274,57
275,10
276,63
277,17
278,48
279,20
280,71
281,33
282,130
283,17
284,6
286,36
288,16
289,10
290,180
291,40
292,29
293,35
294,132
295,34
296,52
297,6
298,147
299,17
300,189
301,7
302,20
304,32
305,6
306,370
307,35
308,51
310,26
312,125
313,24
314,326
315,61
316,17
317,27
319,16
320,7
322,22
326,453
327,63
328,148
329,8
330,59
331,8
332,148
334,481
335,76
336,59
338,53
339,8
340,6
341,18
342,11
344,49
346,109
347,25
348,20
349,54
350,103
351,26
352,463
353,83
354,716
355,117
358,8
360,13
362,49
363,6
366,50
368,111
370,15
371,9
372,196
373,31
374,172
375,42
376,11
377,16
378,23
384,82
385,15
386,64
387,39
388,51
390,296
391,34
392,37
394,37
398,30
400,272
401,17
402,18
406,6
409,10
410,21
411,18
412,95
414,257
415,31
416,63
424,18
425,11
426,61
428,10
430,23
431,10
433,8
434,12
435,13
436,8
438,19
439,11
440,45
442,150
443,10
444,282
445,28
446,25
451,7
452,26
453,48
454,16
456,7
458,10
460,15
462,16
464,13
466,18
467,33
468,127
469,25
471,7
482,64
483,33
484,15
490,8
491,9
506,14
508,49
514,11
528,8
534,10
541,12
542,19
543,7
556,34
560,6
571,7
574,14
580,6
582,25
583,13
597,7
600,7
602,34
606,10
608,11
610,26
615,130
616,31
617,13
622,16
642,7
656,9
658,13
659,160
660,53
661,18
665,7
670,9
674,46
675,7
682,47
684,47
685,9
714,8
716,7
731,6
741,8
750,9
759,10
764,98
765,39
766,8
767,194
770,7
781,6
792,16
810,12
812,12
813,8
824,13
825,7
832,9
848,10
854,17
878,16
893,173
894,95
895,23
908,6
950,6
957,6
958,20
959,10
969,7
996,9
