"m.z","int"
112,32
117,116
118,22
123,12
125,31
126,28
127,32
128,65
130,28
131,98
132,38
133,12
136,104
137,39
138,11
142,160
143,24
146,90
147,11
150,49
151,19
152,14
153,73
154,78
155,38
156,204
159,14
160,42
163,12
164,51
166,23
170,140
172,103
173,15
174,76
178,41
180,89
182,17
184,96
186,63
188,58
192,22
196,16
198,33
200,88
202,37
206,611
207,30
210,27
212,288
214,67
215,96
219,17
220,23
224,116
226,170
228,40
230,19
232,16
235,56
240,112
242,47
243,115
248,135
250,19
251,97
252,62
254,255
255,17
256,13
270,24
276,12
284,105
298,133
300,89
302,131
331,49
372,82
373,12
405,13
438,14
550,11
720,76
738,82
739,14
752,26
754,22
762,105
763,14
764,241
765,78
766,196
767,77
768,83
769,29
770,160
771,84
786,126
787,37
790,21
792,52
793,12
801,145
802,45
804,227
805,76
806,60
807,16
811,12
814,35
858,22
