"m.z","int"
130,20
133,12
146,12
156,90
159,90
168,16
175,163
177,32
181,64
197,11
199,216
201,37
215,29
217,60
226,140
231,12
233,22
239,13
241,26
242,26
248,17
250,40
252,36
267,22
277,27
279,31
280,45
283,44
284,151
289,17
295,22
299,16
300,126
301,152
302,1141
303,204
311,12
317,98
318,35
319,12
329,12
333,23
334,13
342,23
349,43
350,14
356,109
363,103
364,75
379,22
381,15
385,16
396,17
401,18
403,44
419,34
435,11
465,14
483,12
484,25
520,27
528,279
529,30
550,23
553,12
556,155
659,18
706,18
720,16
722,13
734,32
736,260
737,75
738,422
739,189
740,20
748,36
750,39
762,28
764,316
765,114
766,48
768,271
769,98
770,30
792,279
793,88
794,13
801,30
802,14
804,97
805,27
806,18
812,24
814,11
815,14
828,16
840,158
841,61
858,39
941,11
