"m.z","int"
103,24
105,9
106,29
107,31
108,30
110,8
111,74
112,93
113,45
114,87
115,115
116,44
117,312
118,640
119,141
120,94
121,191
122,30
123,236
124,23
125,691
126,151
127,133
128,249
129,9
130,102
131,195
132,169
133,179
134,84
135,191
136,390
137,741
138,168
139,174
140,213
141,73
142,353
143,278
144,79
145,97
146,452
147,174
148,23
149,30
150,426
151,148
152,219
153,355
154,238
155,794
156,1779
157,196
158,66
159,65
160,343
161,24
162,368
163,89
164,248
165,145
166,118
167,135
168,240
169,29
170,372
171,116
172,313
173,118
174,262
175,12
176,54
177,139
178,171
179,136
180,222
181,47
182,117
183,111
184,227
185,25
186,250
187,15
188,208
189,6
190,21
191,32
192,121
193,59
194,30
195,220
196,145
197,37
198,204
199,123
200,333
201,36
202,220
203,6
204,55
205,11
206,812
207,74
208,60
209,144
210,122
211,56
212,569
213,162
214,206
215,283
216,26
217,64
218,35
219,196
220,261
221,30
222,31
223,36
224,244
225,26
226,681
227,66
228,107
229,24
230,103
231,25
232,84
233,13
234,15
235,171
236,21
237,42
238,57
239,42
240,260
241,15
242,223
243,311
244,96
245,13
246,125
248,206
249,27
250,61
251,320
252,235
253,25
254,1055
255,138
256,64
257,65
258,65
259,25
260,34
261,6
262,8
265,53
267,16
268,39
270,53
271,39
272,19
273,25
275,37
276,27
277,38
278,10
280,19
281,7
282,35
283,48
284,380
285,89
286,117
287,48
289,7
290,6
291,6
292,8
297,15
298,215
299,18
300,398
301,15
302,1927
303,350
304,36
306,6
307,30
310,8
312,73
313,6
314,13
316,35
318,162
319,8
324,9
327,17
328,8
329,12
330,8
331,79
333,53
334,18
338,11
340,31
341,15
342,51
348,9
349,31
354,8
358,29
360,81
361,6
364,13
367,13
369,36
371,6
372,115
373,7
390,8
403,20
405,44
408,17
410,31
414,41
436,17
438,35
456,30
462,6
478,7
480,6
482,173
483,21
484,388
485,60
486,16
488,6
506,11
510,18
517,28
520,69
522,24
524,10
526,12
527,11
528,367
529,75
530,6
542,11
550,47
552,11
554,86
556,265
557,43
578,12
586,22
604,28
605,8
614,9
659,8
692,21
693,7
694,6
696,6
708,7
709,7
718,16
720,110
721,45
722,11
725,6
734,54
735,7
736,105
737,17
738,285
739,99
740,17
742,7
748,52
749,14
750,44
751,15
762,50
763,11
764,252
765,115
766,106
767,14
768,148
769,43
770,7
771,7
772,63
786,27
787,13
792,114
793,22
794,6
801,20
804,39
805,11
806,6
807,7
809,11
810,7
812,26
813,10
822,8
840,85
841,39
847,7
851,9
871,16
890,6
904,7
925,7
944,11
