"m.z","int"
102,6
105,34
120,35
121,21
122,9
124,170
132,17
136,14
137,185
138,15
139,12
142,6
147,16
149,12
152,80
153,261
155,98
156,324
157,30
158,10
159,1951
161,34
163,9
165,71
166,25
167,30
168,59
169,514
171,35
172,52
174,197
175,127
177,426
178,36
179,105
181,1947
183,270
184,196
185,448
186,470
187,20
190,14
192,22
194,32
195,59
197,669
199,5624
200,6
201,1849
202,6
203,17
204,19
207,15
209,99
210,30
211,192
212,7
213,43
214,103
215,1892
217,652
218,7
219,29
221,28
223,21
224,12
225,44
226,16
227,124
228,88
229,53
230,80
231,366
232,136
233,1129
235,107
237,24
239,204
240,98
241,168
242,21
243,98
244,50
245,322
246,210
247,108
248,530
249,140
250,20
251,62
253,8
254,15
255,88
256,32
257,95
258,60
259,109
260,56
261,611
262,20
263,187
264,45
265,159
266,115
267,432
271,94
272,23
273,95
274,78
275,247
276,112
277,714
278,21
279,862
280,19
281,170
283,740
284,13
285,82
286,30
287,248
288,143
289,872
290,78
291,99
292,13
293,14
294,200
295,919
296,7
297,87
299,568
300,8
301,1950
302,85
303,181
304,74
305,73
306,14
307,88
308,16
309,15
310,158
311,272
312,7
313,102
315,117
316,69
317,2056
319,212
320,25
321,70
322,44
323,219
324,32
325,26
326,39
327,12
328,41
329,96
330,33
331,14
332,54
333,657
334,6
335,129
336,33
337,85
338,42
339,124
340,79
341,117
342,10
343,28
345,27
346,32
347,36
348,16
349,55
350,49
351,67
352,73
353,49
354,33
355,84
356,31
357,58
358,6
359,65
360,15
363,584
364,45
365,112
366,14
367,35
368,94
369,83
370,64
372,16
373,224
375,29
376,7
377,37
378,58
379,585
380,6
381,296
382,31
383,112
384,12
385,330
386,12
387,136
388,10
389,168
390,50
391,28
392,41
393,10
394,27
395,111
396,146
397,198
398,15
399,146
400,28
401,395
402,38
403,689
404,7
405,139
406,26
407,34
410,18
411,38
412,123
413,98
414,21
415,84
416,14
417,237
418,40
419,799
421,232
422,15
425,11
426,9
427,37
428,13
429,29
430,18
431,54
432,7
433,33
434,53
435,387
436,18
437,139
439,29
441,27
443,79
444,33
445,19
447,30
448,9
449,6
450,13
451,90
452,42
453,64
454,13
455,15
457,15
458,34
459,50
461,46
463,9
465,230
467,58
468,35
469,15
470,13
471,42
472,6
474,31
475,36
476,10
477,20
480,32
481,251
483,155
485,12
486,8
487,97
489,15
490,7
491,15
492,19
493,12
496,44
497,120
498,41
499,138
501,30
502,7
503,93
505,171
507,36
508,8
509,13
512,10
513,14
514,49
515,76
516,16
517,32
519,51
520,12
521,322
523,57
524,7
529,13
530,19
531,16
532,11
533,16
535,9
536,11
537,242
539,39
545,26
547,10
549,8
552,10
553,112
554,12
555,28
560,10
561,40
563,25
567,57
569,37
570,15
576,13
577,21
579,10
583,88
585,39
587,6
589,13
593,11
594,7
598,13
599,59
600,18
601,50
603,13
605,29
607,22
609,12
614,11
615,23
616,24
617,36
619,12
621,56
623,73
625,16
632,23
633,7
637,22
639,62
641,19
647,10
655,29
656,10
657,6
663,16
669,12
671,12
678,8
679,7
681,6
685,31
687,16
694,6
696,7
701,25
702,6
703,25
707,9
709,12
718,8
719,15
723,12
725,21
734,6
735,7
741,24
743,6
757,22
765,6
768,220
773,8
775,6
781,6
783,6
787,11
803,15
805,14
821,8
843,10
883,6
889,6
921,6
