"m.z","int"
103,45
104,18
108,288
109,398
110,122
111,41
112,404
113,15
114,295
115,123
116,258
117,634
118,422
119,612
120,322
121,146
122,85
123,221
124,146
125,87
126,532
127,7301
128,912
129,214
130,130
131,675
132,569
133,317
134,190
135,595
136,699
137,472
138,305
139,189
140,343
141,30
142,943
143,221
144,62
145,412
146,3474
147,1619
148,64
149,292
150,1178
151,459
152,317
153,1245
154,612
155,7188
156,2692
157,982
158,105
159,380
160,950
161,418
162,182
163,265
164,496
165,570
166,309
167,246
168,635
169,153
170,1041
171,571
172,583
173,2926
174,1121
175,749
176,293
177,1659
178,602
179,432
180,1153
181,408
182,572
183,196
184,881
185,102
186,661
187,178
188,683
189,164
190,420
191,88
192,845
193,560
194,496
195,1211
196,596
197,402
198,767
199,1021
200,918
201,259
202,960
203,89
204,153
205,267
206,2895
207,564
208,481
209,756
210,783
211,193
212,1378
213,323
214,549
215,1044
216,245
217,448
218,151
219,1154
220,673
221,1265
222,167
223,265
224,784
225,178
226,958
227,432
228,552
229,113
230,414
231,457
232,253
233,2579
234,305
235,1387
236,165
237,358
238,211
239,119
240,839
241,209
242,577
243,964
244,253
245,53
246,287
247,159
248,664
249,301
250,456
251,1012
252,692
253,251
254,10757
255,1900
256,319
257,410
258,336
259,427
260,124
261,223
262,19
263,203
264,178
265,366
266,154
267,157
268,219
269,144
270,445
271,496
272,156
273,161
274,45
275,276
276,318
277,874
278,100
279,219
280,139
281,294
282,219
283,42
284,164
285,436
286,155
287,309
288,220
289,170
290,27
291,231
292,64
293,983
294,137
295,458
296,41
297,65
298,655
299,367
300,297
301,109
302,11450
303,2367
304,320
305,71
306,13
307,50
308,16
309,94
310,184
311,402
312,132
313,155
314,72
315,490
316,167
317,110
318,299
319,140
320,172
321,193
322,12
323,47
324,38
325,113
326,20
327,52
328,137
329,84
330,84
331,296
332,68
333,356
334,189
335,143
336,204
337,342
338,425
339,130
340,86
341,42
342,39
343,35
344,39
345,140
346,32
347,22
348,38
349,23
350,24
351,101
352,65
353,192
354,42
355,322
356,69
357,55
358,57
359,219
360,126
361,47
362,38
363,35
364,66
365,37
366,38
367,107
368,8
369,165
370,68
371,425
372,221
373,113
374,8
375,44
376,36
377,105
378,72
379,44
380,50
381,98
385,32
386,9
387,30
388,33
389,20
390,12
391,49
392,169
393,288
394,42
395,98
396,34
397,89
398,27
399,45
401,44
402,23
403,101
405,89
407,13
408,7
409,6
410,40
411,47
413,94
414,36
415,156
416,14
417,18
418,6
419,64
421,7
423,8
425,6
426,8
431,100
432,11
433,33
435,17
436,21
437,77
438,74
439,20
440,13
441,31
445,20
447,7
448,18
449,25
451,8
452,6
453,52
455,14
456,39
457,19
458,10
459,52
461,6
462,28
463,26
464,8
465,16
466,6
468,7
469,18
470,7
471,62
472,6
473,49
474,26
475,26
476,12
477,20
478,23
481,17
482,447
483,69
484,777
485,153
486,45
487,7
488,7
489,10
490,14
491,8
493,38
494,12
496,15
497,30
498,6
499,19
500,84
501,10
502,6
503,18
505,9
507,6
509,62
510,13
511,19
513,8
515,13
516,6
517,103
518,12
519,53
520,406
521,89
522,375
523,84
524,141
525,29
526,95
527,45
528,371
529,63
530,46
531,44
533,21
535,24
536,6
537,13
538,7
539,6
540,8
541,8
542,9
543,7
547,6
548,8
550,11
551,24
552,18
553,26
554,40
555,6
556,152
557,27
558,11
559,8
561,12
573,8
574,79
575,8
576,22
577,8
586,12
587,6
591,7
593,6
594,6
598,6
601,10
604,406
605,151
606,13
609,6
611,6
613,12
614,16
617,6
629,10
630,35
631,14
632,13
635,8
637,6
643,6
646,13
657,13
659,48
660,14
661,9
680,9
683,7
686,7
689,6
692,70
693,6
694,25
701,7
706,6
718,15
720,275
721,106
723,7
727,6
729,6
734,8
736,160
737,45
738,407
739,154
740,23
748,13
756,10
762,14
764,163
765,56
766,251
767,76
768,285
769,96
770,313
771,20
779,6
784,184
785,74
786,84
787,26
788,44
789,11
792,46
801,135
802,49
803,61
804,481
805,207
806,353
807,132
808,84
809,19
810,25
811,40
812,78
813,19
814,9
815,9
832,6
833,6
840,57
841,22
845,8
851,10
857,6
858,63
859,19
860,29
861,10
862,9
875,6
891,6
894,6
902,6
909,8
914,28
915,6
916,11
925,9
926,13
928,23
940,6
943,7
955,8
959,14
960,7
971,12
990,11
998,12
