"m.z","int"
116,29
117,12
118,17
120,221
121,17
126,13
129,17
131,26
132,134
134,36
135,59
136,288
138,341
139,22
140,25
141,47
143,14
146,47
148,16
150,186
151,152
152,51
154,375
155,119
156,139
157,43
158,52
160,74
163,44
164,97
165,32
166,76
168,13
170,18
171,20
172,36
173,14
175,42
176,33
178,377
179,26
180,27
185,21
186,29
190,31
192,465
193,19
194,97
200,68
204,12
206,30
207,54
208,46
212,11
214,11
218,39
219,19
220,131
222,55
223,18
228,23
230,14
232,61
234,178
235,19
236,27
240,238
241,14
244,23
246,41
248,36
250,17
254,19
256,59
257,25
258,60
262,27
264,18
272,28
274,16
276,467
277,58
278,48
280,99
282,47
286,36
290,50
291,54
294,20
304,86
306,201
308,37
310,38
312,35
314,70
316,14
318,111
324,31
326,245
327,42
328,16
332,11
334,17
338,275
339,16
340,15
348,20
352,27
353,16
360,38
438,17
439,13
442,12
452,45
453,56
454,15
456,18
462,16
466,21
467,35
468,148
469,30
482,81
483,59
484,14
503,12
508,206
509,17
510,82
512,24
514,15
522,12
527,15
537,85
538,25
541,23
542,41
556,78
557,11
562,24
565,22
568,14
583,15
608,27
609,12
610,12
615,200
616,59
617,23
625,25
659,269
660,102
740,171
741,36
742,97
743,17
744,23
772,255
787,57
788,30
792,454
793,168
794,106
795,21
796,13
852,33
853,31
893,295
894,185
895,41
896,15
