"m.z","int"
105,53
106,36
113,96
115,38
116,26
121,26
122,73
124,44
129,32
131,17
132,261
133,88
136,1825
137,32
138,29
139,30
140,82
151,45
152,96
154,74
158,252
161,27
162,18
164,35
165,91
168,513
169,53
170,60
173,26
174,17
175,23
176,19
178,139
180,38
181,39
191,24
192,132
193,46
194,34
197,41
206,23
208,53
209,28
210,110
218,64
222,435
223,16
224,28
232,16
248,184
250,17
251,26
253,17
261,26
263,30
271,38
272,125
283,18
286,26
290,20
294,43
301,24
305,26
306,105
310,21
312,53
314,53
326,258
327,24
330,37
332,33
333,17
334,121
345,16
346,32
347,16
349,21
350,41
352,100
354,161
360,18
362,44
366,22
368,25
386,22
388,26
398,16
400,44
412,20
414,48
416,77
436,20
440,45
442,91
444,142
453,35
468,66
482,53
483,19
508,65
520,19
537,32
542,17
556,21
567,75
568,29
583,51
615,179
616,26
659,177
660,61
767,179
784,17
792,70
793,28
893,357
894,201
895,49
